,equity
2025-08-07 19:00:00+00:00,10000.0
2025-08-08 01:40:00+00:00,9997.299615077418
2025-08-08 10:30:00+00:00,9994.733224530093
2025-08-08 14:25:00+00:00,9992.437528146385
2025-08-08 18:00:00+00:00,9989.56278388981
2025-08-08 23:35:00+00:00,9987.35902983812
2025-08-09 04:45:00+00:00,9985.167641849044
2025-08-11 00:00:00+00:00,9982.633540697141
2025-08-11 14:35:00+00:00,9980.003275024746
2025-08-11 21:40:00+00:00,9976.758053790265
2025-08-12 06:15:00+00:00,9974.643364047834
2025-08-12 14:10:00+00:00,9971.535538679327
2025-08-14 14:05:00+00:00,9966.911166206359
2025-08-14 21:30:00+00:00,9964.497770912472
2025-08-16 14:50:00+00:00,9962.47981860134
2025-08-17 05:45:00+00:00,9960.765189705966
2025-08-17 08:45:00+00:00,9959.040691564409
2025-08-17 16:35:00+00:00,9957.281994041541
2025-08-17 23:10:00+00:00,9955.521972502362
2025-08-18 04:05:00+00:00,9955.9524017025
2025-08-18 08:10:00+00:00,9953.73234364305
2025-08-19 00:00:00+00:00,9951.824076217388
2025-08-19 13:10:00+00:00,9949.379105039396
2025-08-20 02:00:00+00:00,9946.785028846643
2025-08-20 11:55:00+00:00,9947.036755331641
2025-08-21 10:45:00+00:00,9943.200569457156
2025-08-26 20:35:00+00:00,9947.985466435966
2025-08-27 23:35:00+00:00,9949.075388454092
2025-08-28 00:55:00+00:00,9946.90414676432
2025-08-28 05:40:00+00:00,9945.098878495211
2025-08-28 08:40:00+00:00,9945.17356702982
2025-08-28 17:25:00+00:00,9946.765925918056
2025-08-31 13:00:00+00:00,9951.84811291166
2025-08-31 22:05:00+00:00,9949.003476899035
2025-09-01 02:05:00+00:00,9949.642683604212
2025-09-03 00:20:00+00:00,9958.625241576692
2025-09-03 14:20:00+00:00,9960.563739863357
2025-09-04 01:35:00+00:00,9957.485298352194
2025-09-05 14:00:00+00:00,9962.451652845579
2025-09-08 13:10:00+00:00,9967.157075298124
2025-09-09 13:40:00+00:00,9970.88955406173
2025-09-10 00:50:00+00:00,9968.29859354146
2025-09-10 12:30:00+00:00,9970.02967785359
2025-09-10 15:10:00+00:00,9967.257765127179
2025-09-10 22:15:00+00:00,9965.079664916113
2025-09-11 07:05:00+00:00,9962.35965465433
2025-09-15 16:25:00+00:00,9967.953398728234
2025-09-15 21:20:00+00:00,9965.50518466708
2025-09-15 23:55:00+00:00,9963.796582799097
2025-09-16 06:55:00+00:00,9964.089315941676
2025-09-16 15:05:00+00:00,9961.022356143025
2025-09-17 01:30:00+00:00,9958.705179605276
2025-09-17 06:40:00+00:00,9956.154319869123
2025-09-17 18:00:00+00:00,9953.380065307021
2025-09-17 18:20:00+00:00,9949.282924925634
2025-09-18 01:15:00+00:00,9946.604525554634
2025-09-18 13:35:00+00:00,9942.819699634802
2025-09-18 22:55:00+00:00,9940.948255104575
2025-09-19 01:50:00+00:00,9938.596110348615
2025-09-19 05:05:00+00:00,9939.48403375218
2025-09-19 11:40:00+00:00,9936.983816421978
2025-09-19 16:10:00+00:00,9938.031365054116
2025-09-22 06:30:00+00:00,9940.44885139596
2025-09-23 08:40:00+00:00,9945.016207806346
2025-09-23 18:50:00+00:00,9942.63586070811
2025-09-23 23:35:00+00:00,9940.619945090599
2025-09-24 09:30:00+00:00,9937.577587025786
2025-09-24 13:30:00+00:00,9935.36212710488
2025-09-26 14:15:00+00:00,9939.975533862067
2025-09-26 19:50:00+00:00,9936.950018426236
2025-09-26 23:25:00+00:00,9935.109768532653
2025-09-29 02:20:00+00:00,9937.226535225836
2025-09-30 03:15:00+00:00,9943.795663822519
2025-09-30 06:15:00+00:00,9941.567996605252
2025-10-01 02:05:00+00:00,9947.148049763973
2025-10-02 00:10:00+00:00,9943.86972832617
2025-10-02 14:35:00+00:00,9940.075925746942
2025-10-06 02:00:00+00:00,9947.429970007963
2025-10-06 15:55:00+00:00,9949.527932418952
2025-10-07 07:20:00+00:00,9946.441065321915
2025-10-07 23:00:00+00:00,9949.364207939196
2025-10-08 04:10:00+00:00,9950.907614769123
2025-10-08 22:10:00+00:00,9947.596339513124
2025-10-09 16:30:00+00:00,9943.384323919885
2025-10-10 04:05:00+00:00,9938.757573023177
2025-10-10 09:45:00+00:00,9940.789551545287
2025-10-10 21:15:00+00:00,9934.653636232439
2025-10-13 05:05:00+00:00,9942.615897568656
2025-10-13 13:50:00+00:00,9943.591483909346
2025-10-13 23:45:00+00:00,9946.576045559676
2025-10-14 03:50:00+00:00,9949.07514864461
2025-10-14 05:40:00+00:00,9943.086375859222
2025-10-15 22:35:00+00:00,9952.817829879541
2025-10-16 15:00:00+00:00,9956.676879893963
2025-10-16 19:50:00+00:00,9959.150695605575
2025-10-16 22:10:00+00:00,9970.157002376398
2025-10-17 14:00:00+00:00,9952.817908322191
2025-10-17 23:40:00+00:00,9947.339577572877
2025-10-18 03:35:00+00:00,9944.850330294672
2025-10-18 05:35:00+00:00,9942.014386699515
2025-10-20 00:10:00+00:00,9938.857752563095
2025-10-20 19:05:00+00:00,9949.32540741719
2025-10-21 12:10:00+00:00,9945.5108740524
2025-10-21 18:45:00+00:00,9942.124055385362
2025-10-21 23:55:00+00:00,9937.615687295804
2025-10-22 06:35:00+00:00,9940.244817373657
2025-10-23 14:05:00+00:00,9949.714578274288
2025-10-24 04:35:00+00:00,9945.310925061804
2025-10-27 08:50:00+00:00,9938.811603425316
2025-10-28 04:25:00+00:00,9934.49261958268
2025-10-28 14:40:00+00:00,9938.119723280046
2025-10-29 18:40:00+00:00,9932.919544591306
2025-10-30 09:05:00+00:00,9937.63884582522
2025-11-04 06:05:00+00:00,9932.705004215075
2025-11-04 12:30:00+00:00,9929.696331022435
2025-11-04 18:05:00+00:00,9924.810756706984
2025-11-05 00:40:00+00:00,9922.281824776688
2025-11-05 01:55:00+00:00,9918.827552887244
2025-11-06 07:00:00+00:00,9923.380163397756
2025-11-06 15:00:00+00:00,9917.4176750279
2025-11-06 17:15:00+00:00,9914.890290786623
2025-11-10 01:20:00+00:00,9919.385022130877
2025-11-10 12:00:00+00:00,9922.62363831862
