symbol,timeframe,exit_mode,trades,wr,pf,net_pct,final_capital,max_dd_usd,max_dd_pct,total_fees
XAUUSD,1m,rr2,1824,31.962719298245613,1.0071078689914308,0.10356084604456554,10010.356084604457,-135.09367398707946,-1.334968476042359,0.0
XAUUSD,1m,ema_sl_tp,5648,26.805949008498587,0.7034357599610589,-2.584420592478509,9741.557940752149,-263.1300477724908,-2.6307213743527202,0.0
XAUUSD,5m,rr2,423,38.77068557919622,1.2154859814096088,1.4590723091358815,10145.907230913588,-77.37156997016791,-0.7641675500462013,0.0
XAUUSD,5m,ema_sl_tp,1197,25.31328320802005,0.6467407895238086,-1.471829347931798,9852.81706520682,-152.44201993946626,-1.5244201993946627,0.0
PAXGUSDT,1m,rr2,1853,22.018348623853214,0.23832400758463185,-23.394112700611586,7660.588729938841,-2339.4112700611586,-23.394112700611586,1636.5286936861114
PAXGUSDT,1m,ema_sl_tp,5974,1.4563106796116505,0.00781574912237513,-58.663438656364264,4133.656134363574,-5866.343865636426,-58.663438656364264,3964.8010906895684
PAXGUSDT,5m,rr2,469,30.703624733475483,0.501053693044395,-5.552105025854435,9444.789497414557,-568.3603084422775,-5.683603084422775,457.43629115762826
PAXGUSDT,5m,ema_sl_tp,1491,4.426559356136821,0.024348499247876573,-20.887238676824165,7911.276132317584,-2088.7238676824163,-20.887238676824165,1329.0199204141127
