,equity
2025-08-09 20:53:00+00:00,10000.0
2025-08-10 08:08:00+00:00,9997.899499515632
2025-08-10 13:50:00+00:00,9996.178173378454
2025-08-10 17:17:00+00:00,9994.193557432587
2025-08-10 20:51:00+00:00,9992.530361633419
2025-08-10 22:11:00+00:00,9990.047236099295
2025-08-10 23:57:00+00:00,9987.921034692728
2025-08-11 00:37:00+00:00,9985.881272013563
2025-08-11 02:17:00+00:00,9983.820928116382
2025-08-11 06:25:00+00:00,9981.554308212397
2025-08-11 06:59:00+00:00,9979.634507147079
2025-08-11 09:09:00+00:00,9977.511174096448
2025-08-11 11:47:00+00:00,9974.83035458388
2025-08-11 12:30:00+00:00,9972.3186111988
2025-08-11 14:32:00+00:00,9970.357185790941
2025-08-11 16:31:00+00:00,9968.294519162799
2025-08-11 17:37:00+00:00,9967.927301360834
2025-08-11 20:03:00+00:00,9965.04708758645
2025-08-12 00:15:00+00:00,9964.674140305744
2025-08-12 01:36:00+00:00,9962.74534038196
2025-08-12 03:33:00+00:00,9960.644945492757
2025-08-12 06:05:00+00:00,9958.730022940272
2025-08-12 11:20:00+00:00,9956.645382558141
2025-08-12 11:36:00+00:00,9954.51812254068
2025-08-12 14:11:00+00:00,9952.401703527476
2025-08-12 17:26:00+00:00,9950.68546356281
2025-08-12 19:05:00+00:00,9949.117883371584
2025-08-12 21:06:00+00:00,9947.452519274088
2025-08-13 00:00:00+00:00,9945.586949806184
2025-08-13 01:24:00+00:00,9943.581667262044
2025-08-13 07:30:00+00:00,9943.780200867926
2025-08-14 00:23:00+00:00,9944.056572169646
2025-08-14 02:51:00+00:00,9941.85955291209
2025-08-14 06:04:00+00:00,9940.210553639323
2025-08-14 07:41:00+00:00,9938.542578239256
2025-08-14 12:30:00+00:00,9936.432414793602
2025-08-14 13:25:00+00:00,9934.086328395511
2025-08-14 14:41:00+00:00,9932.298554189263
2025-08-14 16:09:00+00:00,9930.30126498121
2025-08-17 23:17:00+00:00,9928.167928672434
2025-08-18 04:07:00+00:00,9929.612481186305
2025-08-18 05:15:00+00:00,9932.002635042465
2025-08-18 08:14:00+00:00,9930.20083964192
2025-08-18 12:57:00+00:00,9927.940399328982
2025-08-18 13:34:00+00:00,9926.208661875085
2025-08-18 14:54:00+00:00,9924.271947049105
2025-08-18 16:02:00+00:00,9922.623558663889
2025-08-18 17:02:00+00:00,9920.410980272929
2025-08-18 18:00:00+00:00,9918.706720805703
2025-08-19 00:00:00+00:00,9917.01462327943
2025-08-19 13:10:00+00:00,9914.65315236586
2025-08-19 13:58:00+00:00,9914.794297247585
2025-08-19 15:42:00+00:00,9912.978821361152
2025-08-19 17:45:00+00:00,9911.486652743813
2025-08-19 17:50:00+00:00,9910.1155077409
2025-08-19 19:58:00+00:00,9908.237719671144
2025-08-19 22:11:00+00:00,9906.646343995328
2025-08-19 23:03:00+00:00,9904.995601198063
2025-08-20 01:05:00+00:00,9903.087015356103
2025-08-20 02:03:00+00:00,9900.85334539467
2025-08-20 12:07:00+00:00,9902.08125315402
2025-08-22 14:30:00+00:00,9904.27226014277
2025-08-25 21:03:00+00:00,9900.602853948838
2025-08-27 16:49:00+00:00,9904.156253653247
2025-08-27 18:09:00+00:00,9902.431897583967
2025-08-28 01:22:00+00:00,9900.507872703134
2025-08-28 04:14:00+00:00,9898.547549317813
2025-08-28 08:34:00+00:00,9898.753946723307
2025-08-28 10:39:00+00:00,9896.994770822857
2025-08-28 12:10:00+00:00,9896.842700948238
2025-08-28 14:09:00+00:00,9897.030561640238
2025-08-28 15:21:00+00:00,9895.001835544152
2025-08-28 17:28:00+00:00,9894.922944344306
2025-08-28 23:50:00+00:00,9893.166380513898
2025-08-29 03:15:00+00:00,9891.492289878559
2025-08-29 04:03:00+00:00,9889.789582519878
2025-08-29 05:14:00+00:00,9888.046641652732
2025-08-29 06:43:00+00:00,9886.403711263374
2025-08-29 07:17:00+00:00,9884.589071296186
2025-08-29 08:02:00+00:00,9884.867520550168
2025-08-29 09:36:00+00:00,9882.938796897564
2025-08-29 09:59:00+00:00,9881.011893731025
2025-08-29 11:11:00+00:00,9879.280320796446
2025-08-29 13:36:00+00:00,9879.553034780522
2025-08-29 16:01:00+00:00,9881.655531327575
2025-08-29 18:11:00+00:00,9879.704108504882
2025-08-30 10:04:00+00:00,9880.445168470176
2025-08-30 11:53:00+00:00,9878.768534692992
2025-08-30 16:09:00+00:00,9876.7147776007
2025-08-31 03:38:00+00:00,9874.910781734456
2025-08-31 08:28:00+00:00,9872.862482703513
2025-08-31 13:10:00+00:00,9870.908453829219
2025-08-31 14:31:00+00:00,9869.35177023643
2025-08-31 19:30:00+00:00,9867.48134152941
2025-08-31 22:00:00+00:00,9865.76320060918
2025-09-01 00:15:00+00:00,9863.20677174037
2025-09-01 01:09:00+00:00,9861.161719930591
2025-09-01 02:07:00+00:00,9862.197619063767
2025-09-02 00:37:00+00:00,9864.571344909724
2025-09-02 01:17:00+00:00,9865.482608125985
2025-09-02 02:11:00+00:00,9863.486097788846
2025-09-02 05:24:00+00:00,9861.60845794854
2025-09-02 07:24:00+00:00,9859.299352985843
2025-09-02 07:44:00+00:00,9859.596817045262
2025-09-02 08:56:00+00:00,9857.256021159586
2025-09-02 12:43:00+00:00,9854.97898578409
2025-09-02 14:42:00+00:00,9856.059890049524
2025-09-03 12:57:00+00:00,9860.172920028102
2025-09-03 13:33:00+00:00,9858.131352828603
2025-09-03 16:59:00+00:00,9858.656925670903
2025-09-03 18:32:00+00:00,9856.550641754136
2025-09-03 19:01:00+00:00,9854.806547350068
2025-09-03 20:48:00+00:00,9853.09112595675
2025-09-03 23:07:00+00:00,9851.440543189277
2025-09-03 23:57:00+00:00,9849.985577927197
2025-09-04 01:22:00+00:00,9847.814341536121
2025-09-04 05:20:00+00:00,9845.722339096837
2025-09-05 12:30:00+00:00,9847.542276556243
2025-09-05 14:39:00+00:00,9845.347201752955
2025-09-06 16:28:00+00:00,9848.856027832255
2025-09-06 19:40:00+00:00,9846.016448495468
2025-09-06 20:30:00+00:00,9844.164526775508
2025-09-06 21:45:00+00:00,9842.436382265436
2025-09-06 23:53:00+00:00,9842.46887641574
2025-09-07 02:56:00+00:00,9840.783169117267
2025-09-07 04:29:00+00:00,9838.808550335634
2025-09-07 07:21:00+00:00,9836.976687932454
2025-09-07 08:06:00+00:00,9835.13281490952
2025-09-07 10:38:00+00:00,9832.926012655797
2025-09-07 18:29:00+00:00,9831.11268206264
2025-09-07 19:45:00+00:00,9829.195226491382
2025-09-07 21:23:00+00:00,9827.16290874065
2025-09-08 00:03:00+00:00,9825.23070666688
2025-09-08 00:48:00+00:00,9823.498721449701
2025-09-08 01:10:00+00:00,9821.73844400492
2025-09-08 03:11:00+00:00,9819.787798373993
2025-09-08 03:26:00+00:00,9818.389143367587
2025-09-08 07:04:00+00:00,9818.672148147481
2025-09-08 13:46:00+00:00,9819.81369223001
2025-09-08 22:34:00+00:00,9817.353935486233
2025-09-09 00:17:00+00:00,9817.185406202616
2025-09-09 01:59:00+00:00,9817.109279386366
2025-09-09 02:45:00+00:00,9817.447205210787
2025-09-09 06:09:00+00:00,9815.501122884334
2025-09-09 15:15:00+00:00,9812.603139488332
2025-09-09 20:56:00+00:00,9809.351620854019
2025-09-10 00:51:00+00:00,9806.977162768993
2025-09-10 06:20:00+00:00,9807.584444507653
2025-09-10 07:01:00+00:00,9805.696867666153
2025-09-10 12:30:00+00:00,9806.04153894964
2025-09-10 15:10:00+00:00,9803.819313059415
2025-09-10 19:34:00+00:00,9801.115508746298
2025-09-11 02:25:00+00:00,9798.75874521614
2025-09-11 03:09:00+00:00,9796.862190956215
2025-09-11 04:30:00+00:00,9795.08802492313
2025-09-11 06:59:00+00:00,9793.24246754642
2025-09-11 09:01:00+00:00,9791.27013716905
2025-09-11 12:31:00+00:00,9791.852723464892
2025-09-12 04:21:00+00:00,9793.526100117255
2025-09-12 05:29:00+00:00,9791.811686187266
2025-09-12 08:11:00+00:00,9789.899210990261
2025-09-12 08:49:00+00:00,9787.995913743343
2025-09-12 22:43:00+00:00,9785.747230600557
2025-09-13 01:06:00+00:00,9783.900525753099
2025-09-13 02:51:00+00:00,9782.40009499391
2025-09-13 03:25:00+00:00,9780.873038496251
2025-09-13 03:53:00+00:00,9779.006559986005
2025-09-13 05:57:00+00:00,9777.152290902479
2025-09-13 06:29:00+00:00,9775.419156661177
2025-09-13 08:46:00+00:00,9773.437199268392
2025-09-13 14:05:00+00:00,9771.495467947138
2025-09-13 15:01:00+00:00,9769.878828421528
