symbol,timeframe,trades,wins,wr,pf,tp_hits,sl_hits,net,net_pct,final_capital,max_dd_usd,max_dd_pct,total_fees
XAUUSD,1m,1345,415,30.855018587360593,0.9423222871065218,415,929,-62.390940229690386,-0.6239094022969038,9937.60905977031,-142.42832648532203,-1.4156052580343041,0.0
XAUUSD,5m,321,113,35.202492211838006,1.0860115244884967,112,208,46.411922839872204,0.46411922839872205,10046.411922839872,-54.54138536400933,-0.5421730284304164,0.0
PAXGUSDT,1m,1378,283,20.53701015965167,0.21865008162191069,320,1057,-1857.5395418188073,-18.575395418188073,8142.460458181193,-1857.5395418188073,-18.575395418188073,1252.3066998707407
PAXGUSDT,5m,375,106,28.26666666666667,0.4576169499641966,108,266,-507.763088049418,-5.07763088049418,9492.236911950582,-515.7809626470262,-5.157809626470262,366.21103603764243
