entry_time,exit_time,entry,exit,sl,tp,pnl,fees,equity_after,exit_hit,risk,reward
2025-08-11 17:40:00+00:00,2025-08-11 20:55:00+00:00,3354.9350000000004,3341.178,3341.228,3382.349000000001,-2.050263268886061,0.0,9997.949736731114,sl,13.707000000000335,27.41400000000067
2025-08-12 07:40:00+00:00,2025-08-12 11:00:00+00:00,3356.2250000000004,3341.835,3341.885,3384.9050000000007,-2.143338076433553,0.0,9995.80639865468,sl,14.340000000000146,28.68000000000029
2025-08-12 12:35:00+00:00,2025-08-12 14:10:00+00:00,3349.9350000000004,3335.865,3335.915,3377.9750000000013,-2.099160073689154,0.0,9993.707238580992,sl,14.020000000000437,28.040000000000873
2025-08-13 08:50:00+00:00,2025-08-13 18:00:00+00:00,3362.275,3352.4979999999996,3352.548,3381.7290000000007,-1.453011363907047,0.0,9992.254227217085,sl,9.727000000000317,19.454000000000633
2025-08-14 18:40:00+00:00,2025-08-14 20:10:00+00:00,3338.2650000000003,3335.375,3335.425,3343.9450000000006,-0.43252430104651135,0.0,9991.821702916039,sl,2.8400000000001455,5.680000000000291
2025-08-15 08:00:00+00:00,2025-08-15 08:25:00+00:00,3346.125,3339.875,3339.925,3358.5249999999996,-0.9331523126485898,0.0,9990.88855060339,sl,6.199999999999818,12.399999999999636
2025-08-15 09:25:00+00:00,2025-08-15 10:25:00+00:00,3344.445,3338.105,3338.155,3357.025,-0.946976754152437,0.0,9989.941573849237,sl,6.289999999999964,12.579999999999927
2025-08-15 19:55:00+00:00,2025-08-17 22:00:00+00:00,3338.405,3334.1749999999997,3334.225,3346.765000000001,-0.6328988372798836,0.0,9989.308675011956,sl,4.180000000000291,8.360000000000582
2025-08-19 07:10:00+00:00,2025-08-19 12:40:00+00:00,3340.885,3334.798,3334.848,3352.9590000000007,-0.9100121959421263,0.0,9988.398662816015,sl,6.037000000000262,12.074000000000524
2025-08-20 11:10:00+00:00,2025-08-20 12:20:00+00:00,3328.255,3337.465,3323.625,3337.5150000000003,1.3820027564675161,0.0,9989.780665572482,tp,4.630000000000109,9.260000000000218
2025-08-20 13:45:00+00:00,2025-08-22 12:30:00+00:00,3346.5550000000003,3323.575,3323.625,3392.415000000001,-3.429872804942102,0.0,9986.35079276754,sl,22.93000000000029,45.86000000000058
2025-08-22 13:35:00+00:00,2025-08-22 14:00:00+00:00,3330.9750000000004,3350.7850000000008,3321.045,3350.835000000001,2.9695450912229746,0.0,9989.320337858762,tp,9.930000000000291,19.860000000000582
2025-08-25 09:45:00+00:00,2025-08-25 13:00:00+00:00,3366.165,3363.1349999999998,3363.185,3372.125,-0.44958640802982097,0.0,9988.870751450733,sl,2.980000000000018,5.960000000000036
2025-08-25 14:05:00+00:00,2025-08-25 23:10:00+00:00,3372.6980000000003,3361.855,3361.905,3394.2840000000006,-1.6056777920522873,0.0,9987.26507365868,sl,10.79300000000012,21.58600000000024
2025-08-26 08:05:00+00:00,2025-08-28 09:00:00+00:00,3378.3050000000003,3400.8950000000004,3366.985,3400.9450000000006,3.3391348326150396,0.0,9990.604208491295,tp,11.320000000000164,22.640000000000327
2025-08-28 13:55:00+00:00,2025-08-29 15:05:00+00:00,3409.6850000000004,3441.335000000001,3393.835,3441.385000000001,4.6368304285990485,0.0,9995.241038919894,tp,15.850000000000364,31.700000000000728
2025-08-29 19:35:00+00:00,2025-09-01 01:05:00+00:00,3445.748,3441.198,3441.248,3454.748,-0.6599198015508874,0.0,9994.581119118344,sl,4.5,9.0
2025-09-01 13:10:00+00:00,2025-09-02 01:20:00+00:00,3477.3650000000002,3494.7550000000006,3468.645,3494.8050000000007,2.4991015562282253,0.0,9997.080220674572,tp,8.720000000000255,17.44000000000051
2025-09-02 14:10:00+00:00,2025-09-03 00:20:00+00:00,3497.469,3544.0869999999995,3474.135,3544.1369999999997,6.662587798882592,0.0,10003.742808473455,tp,23.333999999999833,46.667999999999665
2025-09-03 11:05:00+00:00,2025-09-03 14:20:00+00:00,3542.905,3564.5350000000003,3532.065,3564.5850000000005,3.0537222554271413,0.0,10006.796530728881,tp,10.840000000000146,21.68000000000029
2025-09-03 14:45:00+00:00,2025-09-04 01:30:00+00:00,3561.539,3548.975,3549.025,3586.5670000000005,-1.765043027916874,0.0,10005.031487700964,sl,12.514000000000124,25.028000000000247
2025-09-04 08:30:00+00:00,2025-09-05 12:30:00+00:00,3543.355,3565.0049999999997,3532.505,3565.055,3.0565513716339776,0.0,10008.088039072598,tp,10.849999999999909,21.699999999999818
2025-09-05 13:50:00+00:00,2025-09-15 15:50:00+00:00,3590.4950000000003,3675.9650000000006,3547.735,3676.015000000001,11.911885195488887,0.0,10019.999924268086,tp,42.76000000000022,85.52000000000044
2025-09-16 08:15:00+00:00,2025-09-16 15:05:00+00:00,3695.715,3679.9849999999997,3680.035,3727.0750000000007,-2.1323965566709244,0.0,10017.867527711414,sl,15.680000000000291,31.360000000000582
2025-09-17 09:15:00+00:00,2025-09-17 10:10:00+00:00,3668.215,3662.1949999999997,3662.245,3680.1550000000007,-0.8220287321875501,0.0,10017.045498979227,sl,5.970000000000255,11.94000000000051
2025-09-17 12:10:00+00:00,2025-09-17 18:00:00+00:00,3670.2850000000003,3659.765,3659.815,3691.225000000001,-1.4355740582715761,0.0,10015.609924920955,sl,10.470000000000255,20.94000000000051
2025-09-18 08:40:00+00:00,2025-09-18 13:40:00+00:00,3660.5950000000003,3635.2749999999996,3635.325,3711.135000000001,-3.4638527793842906,0.0,10012.14607214157,sl,25.270000000000437,50.54000000000087
2025-09-18 19:40:00+00:00,2025-09-18 22:55:00+00:00,3643.385,3640.3149999999996,3640.365,3649.425000000001,-0.42182322814471723,0.0,10011.724248913424,sl,3.0200000000004366,6.040000000000873
2025-09-19 13:15:00+00:00,2025-09-19 15:00:00+00:00,3653.3650000000002,3669.0550000000007,3645.495,3669.105000000001,2.149852991221199,0.0,10013.874101904645,tp,7.870000000000346,15.740000000000691
2025-09-19 17:50:00+00:00,2025-09-22 01:10:00+00:00,3676.4550000000004,3694.9190000000012,3667.198,3694.9690000000014,2.514598593177067,0.0,10016.388700497822,tp,9.257000000000517,18.514000000001033
2025-09-22 09:20:00+00:00,2025-09-23 01:15:00+00:00,3724.2850000000003,3756.0350000000003,3708.385,3756.0850000000005,4.269548936786602,0.0,10020.65824943461,tp,15.900000000000091,31.800000000000182
2025-09-23 11:30:00+00:00,2025-09-24 02:30:00+00:00,3788.145,3751.7079999999996,3751.758,3860.9190000000003,-4.819281266090031,0.0,10015.838968168518,sl,36.38700000000017,72.77400000000034
2025-09-24 13:15:00+00:00,2025-09-24 13:30:00+00:00,3771.4480000000003,3763.745,3763.795,3786.754000000001,-1.0228433160394417,0.0,10014.81612485248,sl,7.653000000000247,15.306000000000495
2025-09-25 07:40:00+00:00,2025-09-25 12:35:00+00:00,3751.485,3739.6189999999997,3739.669,3775.1170000000006,-1.5838502371394783,0.0,10013.23227461534,sl,11.816000000000258,23.632000000000517
2025-09-26 12:35:00+00:00,2025-09-26 13:15:00+00:00,3753.7650000000003,3764.875000000001,3748.185,3764.925000000001,1.4818057413154826,0.0,10014.714080356656,tp,5.580000000000382,11.160000000000764
2025-09-26 13:30:00+00:00,2025-09-26 14:25:00+00:00,3757.7450000000003,3780.9150000000004,3746.135,3780.9650000000006,3.087502281845421,0.0,10017.801582638502,tp,11.610000000000127,23.220000000000255
2025-09-29 11:20:00+00:00,2025-09-30 03:10:00+00:00,3822.175,3853.965,3806.255,3854.0150000000003,4.166029973929472,0.0,10021.96761261243,tp,15.920000000000073,31.840000000000146
2025-09-30 12:10:00+00:00,2025-09-30 14:05:00+00:00,3814.645,3835.3749999999995,3804.255,3835.4249999999997,2.7231287394954355,0.0,10024.690741351926,tp,10.389999999999873,20.779999999999745
2025-10-01 07:30:00+00:00,2025-10-01 14:45:00+00:00,3870.5950000000003,3857.6349999999998,3857.685,3896.415000000001,-1.6782948359092837,0.0,10023.012446516017,sl,12.91000000000031,25.82000000000062
2025-10-02 07:20:00+00:00,2025-10-02 07:25:00+00:00,3874.065,3865.9179999999997,3865.968,3890.2590000000005,-1.0538992299015362,0.0,10021.958547286116,sl,8.097000000000207,16.194000000000415
2025-10-02 09:05:00+00:00,2025-10-02 14:20:00+00:00,3876.6380000000004,3861.468,3861.518,3906.878000000001,-1.960888676764966,0.0,10019.99765860935,sl,15.120000000000346,30.24000000000069
2025-10-03 07:25:00+00:00,2025-10-03 11:30:00+00:00,3862.248,3854.8979999999997,3854.948,3876.8480000000004,-0.9534212043191216,0.0,10019.04423740503,sl,7.300000000000182,14.600000000000364
2025-10-03 12:45:00+00:00,2025-10-05 22:55:00+00:00,3870.585,3902.6090000000004,3854.548,3902.6590000000006,4.144720664430082,0.0,10023.18895806946,tp,16.037000000000262,32.074000000000524
2025-10-06 08:05:00+00:00,2025-10-06 12:25:00+00:00,3945.155,3928.955,3929.005,3977.4550000000004,-2.0579123142275524,0.0,10021.131045755234,sl,16.15000000000009,32.30000000000018
2025-10-06 13:45:00+00:00,2025-10-07 13:00:00+00:00,3944.635,3980.965,3926.445,3981.0150000000003,4.6147196241513715,0.0,10025.745765379384,tp,18.190000000000055,36.38000000000011
2025-10-07 15:15:00+00:00,2025-10-07 15:45:00+00:00,3986.4750000000004,3968.855,3968.905,4021.6150000000007,-2.215662212681482,0.0,10023.530103166702,sl,17.570000000000164,35.14000000000033
2025-10-08 09:50:00+00:00,2025-10-08 11:00:00+00:00,4043.2980000000002,4033.035,4033.085,4063.7240000000006,-1.272123517099205,0.0,10022.257979649603,sl,10.213000000000193,20.426000000000386
2025-10-08 12:05:00+00:00,2025-10-08 12:35:00+00:00,4042.1980000000003,4031.7949999999996,4031.845,4062.9040000000014,-1.2896640610170735,0.0,10020.968315588585,sl,10.35300000000052,20.70600000000104
2025-10-08 16:15:00+00:00,2025-10-08 19:05:00+00:00,4055.175,4036.9449999999997,4036.995,4091.5350000000008,-2.25245830812708,0.0,10018.715857280458,sl,18.18000000000029,36.36000000000058
2025-10-09 11:00:00+00:00,2025-10-09 11:25:00+00:00,4044.045,4033.7549999999997,4033.805,4064.5250000000005,-1.2746221440589818,0.0,10017.441235136399,sl,10.240000000000236,20.480000000000473
2025-10-09 12:55:00+00:00,2025-10-09 13:40:00+00:00,4049.905,4037.1749999999997,4037.225,4075.265000000001,-1.574382941368885,0.0,10015.86685219503,sl,12.680000000000291,25.360000000000582
2025-10-10 08:05:00+00:00,2025-10-12 22:00:00+00:00,3977.875,4029.085,3952.245,4029.135,6.447067108706381,0.0,10022.313919303735,tp,25.63000000000011,51.26000000000022
2025-10-13 10:50:00+00:00,2025-10-13 14:50:00+00:00,4080.855,4100.804999999999,4070.855,4100.855,2.4497949901442606,0.0,10024.76371429388,tp,10.0,19.999999999999545
2025-10-13 19:55:00+00:00,2025-10-14 01:25:00+00:00,4110.035,4148.924999999999,4090.565,4148.974999999999,4.74281923206108,0.0,10029.50653352594,tp,19.4699999999998,38.9399999999996
2025-10-14 16:45:00+00:00,2025-10-15 01:00:00+00:00,4142.475,4172.265,4127.555,4172.3150000000005,3.606286092658826,0.0,10033.1128196186,tp,14.920000000000073,29.840000000000146
