timestamp,open,high,low,close,volume
2025-08-06 08:00:00,3376.4,3376.73,3368.4,3368.76,67.5291
2025-08-06 09:00:00,3368.76,3369.8,3362.51,3364.18,158.5039
2025-08-06 10:00:00,3364.18,3368.4,3363.19,3367.39,52.5712
2025-08-06 11:00:00,3367.4,3371.6,3366.2,3369.39,54.1472
2025-08-06 12:00:00,3369.39,3370.9,3364.7,3370.01,64.7826
2025-08-06 13:00:00,3370.01,3374.49,3366.23,3373.24,84.7252
2025-08-06 14:00:00,3373.24,3380.75,3371.96,3380.67,78.9747
2025-08-06 15:00:00,3380.69,3381.27,3373.39,3377.4,140.3328
2025-08-06 16:00:00,3377.4,3379.09,3374.61,3377.01,168.6305
2025-08-06 17:00:00,3377.01,3378.0,3373.32,3376.41,118.5517
2025-08-06 18:00:00,3376.41,3376.41,3370.21,3371.8,148.6722
2025-08-06 19:00:00,3371.8,3373.79,3371.0,3372.8,85.5999
2025-08-06 20:00:00,3372.8,3372.81,3368.49,3371.53,59.8039
2025-08-06 21:00:00,3371.54,3372.29,3368.36,3369.86,26.8961
2025-08-06 22:00:00,3369.86,3374.5,3369.86,3373.79,37.7489
2025-08-06 23:00:00,3373.79,3373.79,3370.0,3370.99,94.1951
2025-08-07 00:00:00,3371.15,3376.19,3368.8,3375.92,40.365
2025-08-07 01:00:00,3375.91,3383.06,3374.2,3383.05,60.1193
2025-08-07 02:00:00,3383.05,3383.24,3377.45,3380.83,71.0055
2025-08-07 03:00:00,3380.83,3380.83,3377.4,3378.79,48.6481
2025-08-07 04:00:00,3378.79,3379.92,3377.15,3378.13,58.4466
2025-08-07 05:00:00,3378.14,3379.99,3375.0,3376.08,46.3609
2025-08-07 06:00:00,3376.2,3384.68,3375.75,3384.68,86.7954
2025-08-07 07:00:00,3384.68,3394.98,3384.58,3393.0,176.983
2025-08-07 08:00:00,3393.0,3393.2,3375.4,3379.98,197.5898
2025-08-07 09:00:00,3379.86,3382.6,3377.17,3379.8,96.4034
2025-08-07 10:00:00,3379.61,3380.86,3374.16,3374.38,179.7693
2025-08-07 11:00:00,3374.37,3383.7,3374.37,3377.61,113.3573
2025-08-07 12:00:00,3377.71,3386.19,3376.47,3378.73,102.7463
2025-08-07 13:00:00,3378.73,3387.93,3378.73,3382.7,115.5871
2025-08-07 14:00:00,3382.59,3385.0,3376.1,3384.13,120.3007
2025-08-07 15:00:00,3384.87,3385.14,3381.79,3384.41,166.0241
2025-08-07 16:00:00,3384.6,3386.4,3381.99,3383.41,74.4458
2025-08-07 17:00:00,3383.4,3386.95,3381.84,3386.85,50.4564
2025-08-07 18:00:00,3386.85,3389.02,3385.03,3385.43,50.9559
2025-08-07 19:00:00,3385.43,3392.98,3384.0,3392.92,84.4816
2025-08-07 20:00:00,3392.92,3393.57,3386.17,3389.29,127.2778
2025-08-07 21:00:00,3389.03,3391.79,3384.14,3388.81,160.8806
2025-08-07 22:00:00,3388.81,3396.5,3382.99,3394.6,498.5567
2025-08-07 23:00:00,3394.51,3397.81,3390.2,3393.46,159.7926
2025-08-08 00:00:00,3393.46,3394.86,3387.13,3387.6,181.9003
2025-08-08 01:00:00,3387.55,3387.6,3380.69,3381.59,178.8047
2025-08-08 02:00:00,3381.59,3387.55,3381.59,3383.19,150.9795
2025-08-08 03:00:00,3383.19,3392.51,3381.16,3390.6,71.0105
2025-08-08 04:00:00,3390.59,3393.6,3389.63,3390.6,47.8637
2025-08-08 05:00:00,3390.43,3391.0,3388.27,3390.0,20.6914
2025-08-08 06:00:00,3389.99,3391.82,3386.67,3389.59,70.9374
2025-08-08 07:00:00,3389.59,3394.62,3388.04,3394.4,133.1488
2025-08-08 08:00:00,3394.6,3394.63,3390.01,3390.21,44.838
2025-08-08 09:00:00,3390.2,3393.98,3389.6,3393.81,245.7918
2025-08-08 10:00:00,3393.89,3394.99,3379.0,3380.92,731.3756
2025-08-08 11:00:00,3380.93,3383.8,3377.77,3380.07,257.9393
2025-08-08 12:00:00,3380.0,3392.46,3380.0,3383.99,120.2717
2025-08-08 13:00:00,3383.97,3390.5,3380.0,3390.5,114.693
2025-08-08 14:00:00,3390.49,3390.49,3377.28,3381.37,185.9915
2025-08-08 15:00:00,3381.59,3385.51,3381.25,3384.13,51.8382
2025-08-08 16:00:00,3384.13,3389.54,3384.13,3389.5,83.0909
2025-08-08 17:00:00,3389.5,3390.0,3379.38,3379.8,208.9528
2025-08-08 18:00:00,3379.63,3389.64,3375.19,3386.26,563.1232
2025-08-08 19:00:00,3386.24,3389.11,3384.31,3388.92,134.9091
2025-08-08 20:00:00,3388.92,3388.93,3383.35,3387.21,368.3068
2025-08-08 21:00:00,3387.21,3387.79,3383.97,3384.78,116.1733
2025-08-08 22:00:00,3385.25,3388.88,3384.17,3388.76,52.4894
2025-08-08 23:00:00,3388.77,3388.77,3383.96,3385.75,65.5037
2025-08-09 00:00:00,3385.76,3386.58,3384.61,3385.16,26.3633
2025-08-09 01:00:00,3385.16,3393.8,3385.11,3388.02,209.6109
2025-08-09 02:00:00,3388.02,3388.14,3386.88,3387.49,16.6629
2025-08-09 03:00:00,3387.49,3387.82,3387.28,3387.55,14.7333
2025-08-09 04:00:00,3387.55,3389.59,3375.0,3385.47,224.5592
2025-08-09 05:00:00,3385.47,3386.89,3376.93,3385.68,1095.6234
2025-08-09 06:00:00,3385.67,3386.03,3380.22,3383.59,63.8425
2025-08-09 07:00:00,3383.58,3383.8,3382.64,3383.75,37.422
2025-08-09 08:00:00,3383.75,3384.06,3380.11,3380.89,113.2984
2025-08-09 09:00:00,3380.95,3387.48,3380.95,3387.48,57.832
2025-08-09 10:00:00,3387.49,3390.0,3385.46,3386.14,81.1947
2025-08-09 11:00:00,3386.13,3390.0,3386.05,3387.45,50.1288
2025-08-09 12:00:00,3387.45,3389.63,3386.48,3388.59,55.582
2025-08-09 13:00:00,3388.58,3389.32,3387.4,3389.32,28.4392
2025-08-09 14:00:00,3389.31,3392.12,3386.72,3391.01,187.8797
2025-08-09 15:00:00,3391.02,3391.88,3386.74,3387.73,80.1137
2025-08-09 16:00:00,3387.73,3389.9,3385.67,3386.09,88.6447
2025-08-09 17:00:00,3386.23,3389.28,3382.79,3385.55,88.232
2025-08-09 18:00:00,3385.56,3385.77,3383.38,3385.47,51.8312
2025-08-09 19:00:00,3385.46,3385.47,3382.84,3384.06,64.0324
2025-08-09 20:00:00,3384.05,3386.22,3383.61,3385.87,78.4453
2025-08-09 21:00:00,3385.87,3387.01,3382.07,3385.93,81.0259
2025-08-09 22:00:00,3385.93,3386.58,3383.77,3383.77,20.1544
2025-08-09 23:00:00,3383.78,3383.92,3382.22,3383.62,47.4936
