symbol,interval,bars,total_trades,wins,losses,win_rate,expectancy_R,profit_factor,max_drawdown,total_return,final_equity,net_pnl,long_trades,short_trades,tp_exits,stop_exits
BTCUSDT,15m,35040,1268,415,853,0.3272870662460568,-0.2708457644781733,0.3907447816668659,-0.9688133692670478,-0.9688133692670476,311.86630732952364,-9688.133692670477,675,593,429,819
BTCUSDT,30m,17521,651,236,415,0.36251920122887865,-0.2382925959166039,0.572192388111382,-0.7987325810325671,-0.7938825418714617,2061.1745812853833,-7938.825418714617,354,297,222,405
PAXGUSDT,15m,35040,1387,278,1109,0.20043258832011535,-0.30167175019505027,0.10982050285396458,-0.9850047669361356,-0.9850047669361357,149.952330638643,-9850.047669361356,671,716,412,956
PAXGUSDT,30m,17520,646,177,469,0.2739938080495356,-0.2714125019848661,0.29845173597616714,-0.8300180506968853,-0.8288263440705788,1711.736559294213,-8288.263440705787,317,329,211,411
