label,n,wr,exp,pf,dd,ret
1D+1H_s2_tp4,143,0.3356643356643357,-0.1824193371646223,0.7375501212774398,-0.31324915979698376,-0.23838051849738906
1D+1H_s3_tp6,88,0.36363636363636365,-0.08708479038134459,0.8582942079895336,-0.1692825074313841,-0.0807083919103938
1D+1H_s3_tp6_35,104,0.36538461538461536,-0.0724410046055024,0.882006524956865,-0.14215156794298633,-0.08103984813411624
1D+1H_s4_tp8,70,0.4142857142857143,0.060670785090044504,1.0918716755691538,-0.13305640667565008,0.0371443768919375
4H+1H_s3_tp6,90,0.3,-0.2901526498383414,0.6145506151884875,-0.28186344288935605,-0.2353899904732486
1D+4H_base,48,0.5208333333333334,0.35195048091240216,1.6651240025772154,-0.060578224662042865,0.17817819312306948
1D+4H_s2_tp4,40,0.4,0.005498340125143053,0.9950981743842764,-0.1059408279716216,-0.0012498837435043209
