trades,wins,losses,wr,pf,net,net_pct,max_dd_pct,avg_w,avg_l,sl_hits,tp_hits,mode
128,52,76,40.625,1.2609127268784919,532.8486200250609,5.328486200250609,-5.203904105866586,49.52109808807789,-26.871690533618303,76,52,sl_fib0.75_tp_anchor
133,49,84,36.84210526315789,1.3037968984084145,566.3885000462378,5.663885000462378,-4.939370663972095,49.60722742278592,-22.19482909131278,84,49,sl_fib0.7_tp_anchor
180,42,138,23.333333333333332,0.9341071054321277,-115.36931037015165,-1.1536931037015166,-5.109493827222796,38.94028233324743,-12.687399770772108,138,42,baseline_swing0.09_anchor0.14
