label,symbol,htf,ltf,rsi,wf_trades,wf_win_rate,wf_expectancy_R,wf_profit_factor,wf_sharpe,wf_max_dd,wf_return,wf_final_equity,holdout_trades,holdout_win_rate,holdout_profit_factor,holdout_return,folds,mode
1D+4H_30/70,BTCUSDT,1D,4h,30/70,48,0.5208333333333334,0.35195048091240216,1.6651240025772154,2.00554217907456,-0.060578224662042865,0.17817819312306948,11781.781931230695,15,0.4666666666666667,1.2997245921083287,0.02637535618675768,9,walk_forward
1D+1H_30/70,BTCUSDT,1D,1h,30/70,164,0.34146341463414637,-0.20682558316753308,0.6864456634896879,-2.444989939887224,-0.3523323358456299,-0.29549625429317394,7045.037457068261,52,0.3076923076923077,0.5055950690587429,-0.15912608265811745,9,walk_forward
1D+1H_35/65,BTCUSDT,1D,1h,35/65,204,0.3333333333333333,-0.23242650338057783,0.662126313713392,-2.939866933264275,-0.4241800902908418,-0.3863121777423818,6136.8782225761815,71,0.30985915492957744,0.5387610382251696,-0.2028045948241496,9,walk_forward
4H+1H_30/70,BTCUSDT,4h,1h,30/70,153,0.3202614379084967,-0.2830778819059979,0.5969112258017292,-3.240847152943962,-0.4098865121470089,-0.3581010978410344,6418.989021589657,49,0.2857142857142857,0.38948905730417194,-0.19310376617212477,9,walk_forward
4H+1H_35/65,BTCUSDT,4h,1h,35/65,202,0.297029702970297,-0.3395341535431472,0.5304796866844027,-4.4347041676711605,-0.5338354134302435,-0.5031052398414531,4968.947601585469,68,0.3088235294117647,0.4849829935348671,-0.21774636393591595,9,walk_forward
4H+15m_30/70,BTCUSDT,4h,15m,30/70,527,0.3757115749525617,-0.21028346627377487,0.5302578329974299,-6.685423031002521,-0.6765056090295365,-0.6749003456984743,3250.996543015256,179,0.4022346368715084,0.6094276510384251,-0.24010447873549534,9,walk_forward
4H+15m_35/65,BTCUSDT,4h,15m,35/65,687,0.3420669577874818,-0.2568125468399165,0.4607934304957071,-9.471642245688294,-0.8328459833010422,-0.8321037732399628,1678.9622676003721,229,0.3318777292576419,0.4569588086223605,-0.4217668725648813,9,walk_forward
1H+15m_30/70,BTCUSDT,1h,15m,30/70,544,0.33088235294117646,-0.2810826536029969,0.4157487082951632,-8.975631743364147,-0.7876862148073297,-0.7866326585678339,2133.6734143216604,186,0.3602150537634409,0.5162273189741621,-0.31407571385323907,9,walk_forward
1H+15m_35/65,BTCUSDT,1h,15m,35/65,678,0.30678466076696165,-0.31235450811768245,0.37957349631076115,-10.855302495584489,-0.8825795962955879,-0.8820501006799252,1179.4989932007486,234,0.3247863247863248,0.4206990637777443,-0.4603916322007311,9,walk_forward
