year,trades,wins,pnl,wr
2021,17,5,-33.1778542791411,29.411764705882355
2022,27,13,54.007949019051466,48.148148148148145
2023,26,11,-15.940399295889868,42.30769230769231
2024,23,8,-52.59262451205637,34.78260869565217
2025,23,9,-62.32144838914098,39.130434782608695
2026,12,6,642.8729974822364,50.0
