entry_time,direction,entry_price,exit_time,exit_price,sl_price,tp_price,qty,pnl,exit_hit,anchor_high,anchor_low
2025-09-18 07:45:00+00:00,long,3659.535,2025-09-18 09:10:00+00:00,3668.501897,3632.0532074999996,3668.501897,0.8197762830523551,7.350849493173514,TP,3673.645,3611.465
2025-09-22 05:30:00+00:00,long,3698.485,2025-09-22 06:20:00+00:00,3702.1177688000002,3686.4741845,3702.1177688000002,0.8111429409609611,2.94669476826332,TP,3707.308,3611.465
2025-09-26 00:55:00+00:00,long,3749.385,2025-09-26 03:00:00+00:00,3736.5490765,3736.5490765,3785.557789,0.8001312215203293,-10.270423149396711,SL,3790.865,3611.465
2025-10-23 09:15:00+00:00,long,4122.785,2025-10-23 10:50:00+00:00,4104.4506668,4104.4506668,4375.1641828,0.7276634605006083,-13.341224342282821,SL,4381.298,3611.465
2025-10-24 16:25:00+00:00,long,4136.135,2025-10-24 17:50:00+00:00,4108.3341685,4108.3341685,4375.1641828,0.7253148168519644,-20.164355007755287,SL,4381.298,4003.298
2025-11-04 10:00:00+00:00,short,3988.725,2025-11-06 07:20:00+00:00,4004.0754274999995,4004.0754274999995,3891.6396786000005,0.752120038358122,-11.545364120113247,SL,4045.925,3886.199
2025-11-18 05:20:00+00:00,long,4018.415,2025-11-18 07:30:00+00:00,4000.8150229,4000.8150229,4238.982105,0.7465630105402254,-13.139491889215146,SL,4244.925,3886.199
2025-11-20 23:10:00+00:00,long,4084.798,2025-11-21 01:00:00+00:00,4069.4891605000003,4069.4891605000003,4238.982105,0.7344304418480425,-11.243277758165416,SL,4244.925,3997.658
2025-11-24 03:30:00+00:00,long,4053.215,2025-11-24 20:30:00+00:00,4126.889255,4036.7386625,4126.889255,0.740153187037944,54.530234640896104,TP,4132.675,3997.658
2025-12-04 09:40:00+00:00,long,4196.635,2025-12-05 15:35:00+00:00,4258.414861,4179.550016499999,4258.414861,0.7148584520693365,44.16385580351876,TP,4264.385,3997.658
2025-12-17 01:00:00+00:00,long,4315.625,2025-12-17 15:30:00+00:00,4347.230345,4296.9772368,4347.230345,0.6951484431571325,21.970406372194024,TP,4353.325,4169.845
2025-12-31 09:40:00+00:00,long,4335.885,2026-01-11 23:40:00+00:00,4543.345399000001,4299.1253018,4543.345399000001,0.6919002694951549,143.5419059776727,TP,4549.715,4169.845
2026-02-02 09:45:00+00:00,long,4715.998,2026-02-02 16:00:00+00:00,4598.1129705,4598.1129705,5588.969473,0.6361325852979582,-74.99050858376063,SL,5596.805,4536.515
2026-02-09 05:30:00+00:00,long,5031.415,2026-02-09 07:20:00+00:00,5002.388794500001,5002.388794500001,5084.267047,0.5962537377656186,-17.306983522527585,SL,5091.395,4536.515
2026-02-17 07:35:00+00:00,long,4919.525,2026-02-17 14:00:00+00:00,4852.2770168,4852.2770168,5084.267047,0.6098149719739203,-41.00882699041061,SL,5091.395,4877.255
2026-03-03 18:50:00+00:00,long,5136.515,2026-03-05 15:05:00+00:00,5060.4864595,5060.4864595,5242.225595,0.5840535849695756,-44.404741639029815,SL,5249.575,4877.255
2026-03-05 20:15:00+00:00,long,5090.515,2026-03-08 23:40:00+00:00,5050.6852885,5050.6852885,5411.2885750000005,0.5893313348452955,-23.472897044798305,SL,5418.875,4877.255
2026-03-09 02:10:00+00:00,long,5094.105,2026-03-13 19:50:00+00:00,5010.141810499999,5010.141810499999,5411.2885750000005,0.5889160117429854,-49.447266693560636,SL,5418.875,4995.475
2026-03-16 00:30:00+00:00,long,5030.155,2026-03-18 10:35:00+00:00,4962.6545875,4962.6545875,5231.031289,0.59640309294644,-40.257454790160295,SL,5238.365,4995.475
2026-04-01 02:35:00+00:00,short,4680.125,2026-04-01 06:20:00+00:00,4704.505247499999,4704.505247499999,4104.0125849999995,0.6410085200715793,-15.62794636895338,SL,5238.365,4098.275
2026-04-07 10:45:00+00:00,short,4650.185,2026-04-07 17:35:00+00:00,4684.3601332,4684.3601332,4104.0125849999995,0.6451356236364789,-22.047595869841373,SL,4800.185,4098.275
2026-04-21 20:50:00+00:00,long,4716.875,2026-04-23 17:45:00+00:00,4664.0735525,4664.0735525,4793.464741000001,0.6360143103219822,-33.58247621571485,SL,4800.185,4634.998
2026-04-24 00:20:00+00:00,long,4700.585,2026-04-24 02:25:00+00:00,4682.4070375,4682.4070375,4882.489931,0.638218434514002,-11.601510769404182,SL,4889.335,4634.998
2026-05-15 07:10:00+00:00,long,4585.785,2026-05-15 08:30:00+00:00,4552.1443795,4552.1443795,4766.652331,0.6541955194148875,-22.007543201436807,SL,4773.335,4509.875
2026-05-29 03:05:00+00:00,short,4497.885,2026-05-29 05:00:00+00:00,4515.0749135,4515.0749135,4459.379403000001,0.6669801473359145,-11.465331038921239,SL,4580.225,4453.145
