label,symbol,interval,htf,htf_swing_len,min_move_pct,bars,signals,total_trades,wins,losses,win_rate,expectancy_R,profit_factor,max_drawdown,total_return,final_equity,net_pnl,long_trades,short_trades,tp_exits,stop_exits
full_0.30%,BTCUSDT,5m,4h,15,1.5,105120,142,142,25,117,0.176056338028169,-0.2537500311867359,0.527874066119405,-0.30910220129090377,-0.3091022012909037,6908.977987090962,-3091.0220129090376,50,92,26,111
full_0.30%,PAXGUSDT,5m,4h,15,1.5,105120,117,117,20,97,0.17094017094017094,-0.28083074007120984,0.3147145498815692,-0.28185619754073915,-0.2818561975407391,7181.438024592609,-2818.5619754073914,45,72,21,93
tv_0.1%,BTCUSDT,5m,4h,15,1.5,105120,142,142,26,116,0.18309859154929578,-0.17594373319410014,0.6246950956771293,-0.22834923490147957,-0.22834923490147963,7716.507650985204,-2283.4923490147958,50,92,26,111
tv_0.1%,PAXGUSDT,5m,4h,15,1.5,105120,117,117,20,97,0.17094017094017094,-0.19224792395169138,0.4286235853445413,-0.2032533247877621,-0.20325332478776204,7967.466752122379,-2032.5332478776209,45,72,21,93
