entry_time,direction,entry_price,exit_time,exit_price,sl_price,tp_price,pnl,exit_hit
2025-09-18 07:45:00+00:00,long,3659.535,2025-09-18 13:40:00+00:00,3630.119,3630.119,3673.645,-24.11453914226784,SL
2025-09-22 05:30:00+00:00,long,3698.485,2025-09-22 06:30:00+00:00,3707.308,3640.2179,3707.308,7.156714168098451,TP
2025-09-26 00:55:00+00:00,long,3749.385,2025-09-29 02:15:00+00:00,3790.865,3665.285,3790.865,33.18944306866291,TP
2025-10-23 09:15:00+00:00,long,4122.785,2025-12-22 01:40:00+00:00,4381.298,3842.4149,4381.298,188.11046416439368,TP
2025-12-29 16:50:00+00:00,long,4345.235,2025-12-30 01:50:00+00:00,4353.325,4224.889,4353.325,5.585428636195841,TP
2025-12-31 09:40:00+00:00,long,4335.885,2026-01-12 00:05:00+00:00,4549.715,4283.8060000000005,4549.715,147.94903462614892,TP
2026-02-03 07:25:00+00:00,long,4899.895,2026-02-04 16:45:00+00:00,4854.602000000001,4854.602000000001,5596.805,-27.731002399030796,SL
2026-02-09 05:30:00+00:00,long,5031.415,2026-02-11 10:40:00+00:00,5091.395,4702.979,5091.395,35.763299191182085,TP
2026-02-18 18:25:00+00:00,short,4987.835,2026-02-20 06:25:00+00:00,5027.153,5027.153,4877.255,-23.64833640246733,SL
2026-03-03 18:50:00+00:00,long,5136.515,2026-03-15 23:20:00+00:00,4988.951,4988.951,5249.575,-86.18528321245063,SL
2026-04-01 02:35:00+00:00,short,4680.125,2026-06-10 18:50:00+00:00,4098.275,4896.338,4098.275,372.9708074036486,TP
2026-06-15 11:45:00+00:00,short,4333.535,2026-06-24 12:25:00+00:00,4023.585,4413.233,4023.585,214.57078343661686,TP
2026-06-25 19:45:00+00:00,short,4026.328,2026-06-25 19:50:00+00:00,4023.585,4274.563,4023.585,2.043797723384636,TP
2026-06-29 04:35:00+00:00,short,4054.675,2026-06-30 01:05:00+00:00,3958.695,4255.096,3958.695,71.01432297286466,TP
2026-07-09 00:50:00+00:00,short,4070.455,2026-07-09 14:00:00+00:00,4129.642,4129.642,3958.695,-43.62190467650415,SL
2026-07-13 00:30:00+00:00,short,4062.265,2026-07-13 14:15:00+00:00,4021.525,4148.491,4021.525,30.08666347468699,TP
2026-07-22 05:15:00+00:00,short,4123.735,2026-07-22 05:35:00+00:00,4129.879,4129.879,3959.485,-4.469734354899309,SL
2026-08-04 00:55:00+00:00,short,4048.945,2026-08-04 08:00:00+00:00,4071.9575,4071.9575,3959.485,-17.050737908269795,SL
