symbol,trades,wins,losses,wr,net,net_pct,final
BTCUSDT,93,25,68,26.881720430107524,53.16230407353942,0.5316230407353941,10053.16230407354
PAXGUSDT,126,40,86,31.746031746031743,67.93118325471733,0.6793118325471733,10067.931183254717
