entry_time,direction,exit_time,pnl,exit_hit
2025-08-10 08:51:00+00:00,long,2025-08-10 08:51:00+00:00,0.9311596450011468,init_sl
2025-08-10 08:53:00+00:00,long,2025-08-10 08:53:00+00:00,0.9607916546224731,init_sl
2025-08-10 08:55:00+00:00,long,2025-08-10 08:55:00+00:00,0.9904322748381391,init_sl
2025-08-10 08:57:00+00:00,long,2025-08-10 08:57:00+00:00,0.9905303518915423,init_sl
2025-08-10 08:59:00+00:00,long,2025-08-10 08:59:00+00:00,0.9610742696028547,init_sl
2025-08-10 09:01:00+00:00,long,2025-08-10 09:01:00+00:00,0.9907236085488087,init_sl
2025-08-10 15:57:00+00:00,long,2025-08-10 15:57:00+00:00,-2.2668997634034964,ema21_close
2025-08-11 18:05:00+00:00,long,2025-08-11 18:05:00+00:00,-20.549836777830826,runner_resistance
2025-08-11 18:07:00+00:00,long,2025-08-11 18:07:00+00:00,-20.018347518672797,runner_resistance
2025-08-11 18:10:00+00:00,long,2025-08-11 18:11:00+00:00,-5.708094341029633,init_sl
2025-08-11 20:18:00+00:00,short,2025-08-11 20:18:00+00:00,-4.295109640200988,runner_support
2025-08-12 15:56:00+00:00,long,2025-08-12 15:57:00+00:00,-2.9414609087443635,ema21_close
2025-08-15 16:44:00+00:00,short,2025-08-15 16:45:00+00:00,-2.1245262483293836,ema21_close
2025-08-15 16:51:00+00:00,short,2025-08-15 16:58:00+00:00,-2.094184080931772,ema21_close
2025-08-16 07:29:00+00:00,long,2025-08-16 07:40:00+00:00,-2.1084735186209915,ema21_close
2025-08-17 09:46:00+00:00,short,2025-08-17 09:51:00+00:00,-2.0783577019306185,ema21_close
2025-08-17 09:55:00+00:00,short,2025-08-17 09:55:00+00:00,-2.0181926640342236,ema21_close
2025-08-17 09:57:00+00:00,short,2025-08-17 10:13:00+00:00,-1.437842292398076,partial_tp|runner_support
2025-08-17 11:45:00+00:00,long,2025-08-17 11:45:00+00:00,-2.7486147964163576,runner_resistance
2025-08-17 11:51:00+00:00,long,2025-08-17 11:51:00+00:00,-2.7478546088644302,runner_resistance
2025-08-17 12:34:00+00:00,short,2025-08-17 12:35:00+00:00,-1.7775667379600961,runner_support
2025-08-17 12:50:00+00:00,short,2025-08-17 12:51:00+00:00,-2.060802008241124,ema21_close
2025-08-17 13:58:00+00:00,long,2025-08-17 13:58:00+00:00,-2.7009400836192943,runner_resistance
2025-08-17 14:00:00+00:00,long,2025-08-17 14:00:00+00:00,-2.700205348136132,runner_resistance
2025-08-17 14:02:00+00:00,long,2025-08-17 14:02:00+00:00,-2.6101344109070053,runner_resistance
2025-08-17 19:10:00+00:00,long,2025-08-17 19:10:00+00:00,-2.028862273072835,ema21_close
2025-08-17 20:19:00+00:00,short,2025-08-17 20:19:00+00:00,-2.0135690668725106,ema21_close
2025-08-17 21:50:00+00:00,long,2025-08-17 21:57:00+00:00,-1.834493288718715,runner_resistance
2025-08-18 21:49:00+00:00,long,2025-08-18 21:49:00+00:00,-7.808123792875289,runner_resistance
2025-08-18 21:51:00+00:00,long,2025-08-18 21:51:00+00:00,-8.254078996336087,partial_tp|runner_resistance
2025-08-18 21:55:00+00:00,long,2025-08-18 21:55:00+00:00,-3.196120216115226,ema21_close
2025-08-18 21:58:00+00:00,long,2025-08-18 21:58:00+00:00,-7.896651660630008,runner_resistance
2025-08-18 22:00:00+00:00,long,2025-08-18 22:00:00+00:00,-5.111043861932492,init_sl
2025-08-20 09:29:00+00:00,long,2025-08-20 09:29:00+00:00,-2.601469438914849,runner_resistance
2025-08-20 09:35:00+00:00,long,2025-08-20 09:35:00+00:00,-2.585911095765639,runner_resistance
2025-08-20 09:37:00+00:00,long,2025-08-20 09:37:00+00:00,-2.5852342867221583,runner_resistance
2025-08-20 09:39:00+00:00,long,2025-08-20 09:39:00+00:00,-2.584557654819524,runner_resistance
2025-08-20 09:41:00+00:00,long,2025-08-20 09:41:00+00:00,-2.5690192402046144,runner_resistance
2025-08-20 09:45:00+00:00,long,2025-08-20 09:45:00+00:00,-2.5683507196957978,runner_resistance
2025-08-20 09:48:00+00:00,long,2025-08-20 09:48:00+00:00,-2.567682373152075,runner_resistance
2025-08-20 09:50:00+00:00,long,2025-08-20 09:50:00+00:00,-2.552163750565487,runner_resistance
2025-08-20 20:18:00+00:00,long,2025-08-20 20:28:00+00:00,-1.0124599197914868,runner_resistance
2025-08-20 21:10:00+00:00,long,2025-08-20 21:12:00+00:00,-1.8984145577934268,runner_resistance
2025-08-20 21:34:00+00:00,long,2025-08-20 21:34:00+00:00,-2.134152442484656,runner_resistance
2025-08-20 21:38:00+00:00,long,2025-08-20 21:38:00+00:00,-2.0009140435410604,ema21_close
2025-08-21 08:25:00+00:00,long,2025-08-21 08:25:00+00:00,-2.3993764372630944,runner_resistance
2025-08-21 08:27:00+00:00,long,2025-08-21 08:27:00+00:00,-2.384025737382814,runner_resistance
2025-08-21 08:29:00+00:00,long,2025-08-21 08:29:00+00:00,-2.383448878609892,runner_resistance
2025-08-21 08:31:00+00:00,long,2025-08-21 08:31:00+00:00,-2.3828721594185347,runner_resistance
2025-08-21 08:42:00+00:00,long,2025-08-21 08:42:00+00:00,-2.397012902948486,ema21_close
2025-08-22 17:40:00+00:00,long,2025-08-22 17:40:00+00:00,-2.0857711855202914,ema21_close
2025-08-22 18:00:00+00:00,long,2025-08-22 18:00:00+00:00,-2.0999554191513092,runner_resistance
2025-08-22 18:02:00+00:00,long,2025-08-22 18:09:00+00:00,-1.3676906104817088,runner_resistance
2025-08-23 13:34:00+00:00,short,2025-08-23 13:34:00+00:00,-1.9821528066177891,ema21_close
2025-08-23 13:39:00+00:00,short,2025-08-23 13:39:00+00:00,-3.6364520891012253,runner_support
