entry_time,direction,entry_price,exit_time,exit_price,sl_price,tp_price,pnl,exit_hit,mode,poi_kind
2025-08-24 08:45:00+00:00,short,3359.65,2025-08-24 15:30:00+00:00,3362.14,3362.14,3354.35,-2.2234458946614515,SL,conservative,ob
2025-08-29 11:55:00+00:00,long,3412.98,2025-08-29 13:15:00+00:00,3420.61,3408.09,3420.61,6.7067489408084215,TP,conservative,ob
2025-09-07 15:10:00+00:00,long,3615.73,2025-09-07 16:40:00+00:00,3619.13,3614.31,3619.13,2.8210070995346093,TP,conservative,ob
2025-09-07 21:30:00+00:00,short,3614.61,2025-09-07 23:10:00+00:00,3600.91,3622.45,3600.91,11.37052130105345,TP,conservative,ob
2025-09-15 09:40:00+00:00,short,3645.02,2025-09-15 12:40:00+00:00,3654.68,3654.68,3630.23,-7.950573659403669,SL,conservative,ob
2025-09-17 18:35:00+00:00,short,3679.84,2025-09-18 06:10:00+00:00,3643.3,3702.98,3643.3,29.789338666898534,TP,conservative,fvg
2025-10-05 22:25:00+00:00,long,3895.01,2025-10-05 22:55:00+00:00,3902.62,3890.03,3902.62,5.861345670485831,TP,conservative,ob
2025-10-06 12:25:00+00:00,long,3941.64,2025-10-06 12:25:00+00:00,3941.24,3941.24,3953.09,-0.3044418059488621,SL,conservative,ob
2025-10-19 19:10:00+00:00,short,4234.81,2025-10-19 22:00:00+00:00,4245.67,4245.67,4192.55,-7.693379396005727,SL,conservative,fvg
2025-11-09 20:20:00+00:00,long,3996.78,2025-11-10 00:05:00+00:00,4008.02,3991.55,4008.02,8.436791617251723,TP,conservative,ob
2025-11-23 04:45:00+00:00,long,4059.05,2025-11-23 04:45:00+00:00,4062.89,4056.5,4062.89,2.8381025116712215,TP,conservative,ob
2025-11-30 12:50:00+00:00,long,4245.85,2025-11-30 13:05:00+00:00,4241.82,4241.82,4252.19,-2.847486369043175,SL,conservative,ob
2025-12-08 05:45:00+00:00,long,4223.24,2025-12-08 08:00:00+00:00,4215.87,4215.87,4235.43,-5.23531696043788,SL,conservative,ob
2025-12-08 14:20:00+00:00,long,4218.88,2025-12-08 14:45:00+00:00,4209.5,4209.5,4235.43,-6.670016686893281,SL,conservative,ob
2025-12-16 01:40:00+00:00,long,4325.3,2025-12-16 02:50:00+00:00,4311.43,4311.43,4358.05,-9.62014195547122,SL,conservative,ob
2025-12-21 10:20:00+00:00,long,4357.76,2025-12-21 22:20:00+00:00,4367.99,4351.99,4367.99,7.042609046849456,TP,conservative,ob
2025-12-26 03:25:00+00:00,long,4523.79,2025-12-26 13:35:00+00:00,4544.86,4510.21,4544.86,13.972797145755909,TP,conservative,ob
2026-01-09 12:05:00+00:00,long,4485.39,2026-01-09 12:30:00+00:00,4477.54,4477.54,4517.0,-5.250379565656741,SL,conservative,ob
2026-01-17 18:55:00+00:00,short,4604.99,2026-01-18 00:10:00+00:00,4612.22,4612.22,4591.01,-4.710107948117459,SL,conservative,ob
2026-01-30 06:05:00+00:00,short,5228.23,2026-01-30 07:00:00+00:00,5163.2,5269.54,5163.2,37.31473175434119,TP,conservative,fvg
2026-02-15 23:15:00+00:00,short,5025.11,2026-02-16 03:45:00+00:00,4986.23,5048.6,4986.23,23.21143218755417,TP,conservative,ob
2026-02-27 18:50:00+00:00,long,5258.75,2026-02-27 22:10:00+00:00,5297.96,5239.51,5297.96,22.368433563109125,TP,conservative,ob
2026-03-08 09:55:00+00:00,short,5171.29,2026-03-08 16:00:00+00:00,5180.4,5180.4,5139.33,-5.284948243088092,SL,conservative,fvg
2026-03-08 16:35:00+00:00,short,5171.55,2026-03-08 22:00:00+00:00,5181.21,5181.21,5139.33,-5.603735823882504,SL,conservative,fvg
2026-03-08 22:25:00+00:00,short,5154.39,2026-03-08 23:35:00+00:00,5076.25,5191.78,5076.25,45.47967848765828,TP,conservative,ob
2026-03-18 18:45:00+00:00,short,4869.35,2026-03-18 20:05:00+00:00,4830.31,4891.46,4830.31,24.052491605655764,TP,conservative,ob
2026-04-13 05:00:00+00:00,long,4703.14,2026-04-13 11:40:00+00:00,4690.3,4690.3,4732.96,-8.190272881521798,SL,conservative,fvg
2026-04-29 05:40:00+00:00,short,4587.66,2026-04-29 07:15:00+00:00,4570.53,4598.72,4570.53,11.201789147408554,TP,conservative,ob
2026-05-18 06:05:00+00:00,short,4533.27,2026-05-18 07:30:00+00:00,4549.43,4549.43,4480.02,-10.694267052260193,SL,conservative,ob
2026-05-18 10:40:00+00:00,short,4536.76,2026-05-18 11:40:00+00:00,4551.03,4551.03,4514.99,-9.43624965834617,SL,conservative,ob
2026-05-19 06:25:00+00:00,long,4547.2,2026-05-19 10:40:00+00:00,4533.08,4533.08,4580.0,-9.315622800844405,SL,conservative,ob
2026-05-27 23:15:00+00:00,short,4455.0,2026-05-28 01:15:00+00:00,4435.4,4463.67,4435.4,13.198653198653444,TP,conservative,ob
2026-05-31 16:50:00+00:00,long,4534.28,2026-05-31 20:15:00+00:00,4529.49,4529.49,4552.03,-3.169191139497316,SL,conservative,fvg
2026-06-04 09:10:00+00:00,long,4462.6,2026-06-04 11:25:00+00:00,4481.68,4452.49,4481.68,12.826603325415626,TP,conservative,ob
2026-06-12 08:05:00+00:00,long,4194.42,2026-06-14 21:20:00+00:00,4242.05,4169.59,4242.05,34.06668860056941,TP,conservative,fvg
2026-06-21 13:20:00+00:00,long,4163.86,2026-06-21 21:40:00+00:00,4155.02,4155.02,4179.77,-6.369090219171084,SL,conservative,fvg
2026-06-28 07:00:00+00:00,short,4073.7,2026-06-28 10:05:00+00:00,4079.4,4079.4,4061.53,-4.197658148612028,SL,conservative,ob
2026-07-04 17:55:00+00:00,long,4171.45,2026-07-04 18:35:00+00:00,4164.53,4164.53,4188.74,-4.976686763595445,SL,conservative,ob
2026-07-11 13:40:00+00:00,long,4114.35,2026-07-11 15:00:00+00:00,4111.37,4111.37,4121.56,-2.1728827153745836,SL,conservative,fvg
2026-07-14 11:30:00+00:00,long,4022.4,2026-07-14 12:30:00+00:00,4062.84,4010.44,4062.84,30.16109785202868,TP,conservative,ob
2026-07-26 14:15:00+00:00,long,4060.04,2026-07-26 22:00:00+00:00,4078.8,4056.05,4078.8,13.861932394754893,TP,conservative,ob
2026-08-07 00:55:00+00:00,short,4229.82,2026-08-07 01:40:00+00:00,4252.26,4252.26,4176.42,-15.91557087535676,SL,conservative,ob
