trades,wins,losses,wr,pf,net,net_pct,max_dd_pct,avg_w,avg_l,sl_hits,tp_hits,symbol,mode
33,9,24,27.27272727272727,0.8781942788057941,-67.62958852546763,-0.6762958852546763,-4.253748778523804,54.177274304589176,-23.134377386115688,24,9,XAUUSD,baseline_swing0.09_anchor0.14
18,11,7,61.111111111111114,4.886840853699198,881.6192207699933,8.816192207699933,-1.0983361961491938,100.76734171508033,-32.40307687084141,7,11,XAUUSD,sl_fib0.7_tp_anchor
18,11,7,61.111111111111114,4.67111316919078,871.1438408256981,8.711438408256981,-1.1280235114151402,100.76734171508033,-33.89955972002614,7,11,XAUUSD,sl_fib0.7buf_tp_anchor
18,12,6,66.66666666666666,5.261555403917587,863.8471068027247,8.638471068027249,-1.0983361961491938,88.87950881302889,-33.78449982560367,6,12,XAUUSD,sl_fib0.7_tp_anchor0.14
10,6,4,60.0,2.0867662234096476,721.1277008468478,7.211277008468478,-5.238662108396056,230.7802261543393,-165.88841401979752,3,6,XAUUSD,sl_fib0.7_tp_rr2
9,5,4,55.55555555555556,1.8517163661994462,752.7793321951485,7.527793321951486,-5.450622923134979,327.3234764250203,-220.95951248248883,3,5,XAUUSD,sl_fib0.7_tp_rr3
24,9,15,37.5,1.6451619747937813,243.35282922064653,2.433528292206465,-2.361650451016285,68.94992381482726,-25.146432340853256,15,9,XAUUSD,sl_swing0.25_tp_anchor
24,10,14,41.66666666666667,1.4384118564100659,203.8979236784853,2.038979236784853,-2.959929336940277,66.89809744611429,-33.220217913047144,14,10,XAUUSD,sl_swing0.50_tp_anchor
13,5,8,38.46153846153847,4.167606246185028,704.5745109300187,7.045745109300188,-1.4433611310136985,185.4011454985109,-27.803902070316845,8,5,XAUUSD,sl_fib0.7_tp_anchor_minRR1.5
13,5,8,38.46153846153847,4.177264558509403,706.7228210902704,7.067228210902704,-1.4433611310136985,185.83080753056123,-27.803902070316845,8,5,XAUUSD,sl_fib0.7_tp_anchor_minRR2
17,11,6,64.70588235294117,5.410674594926329,888.4820908734582,8.884820908734582,-1.002458060362351,99.08373988591505,-33.57317464526823,6,11,XAUUSD,sl_fib0.75_tp_anchor
16,11,5,68.75,5.2354003170385965,881.7381779888619,8.817381779888619,-1.1762599737938944,99.08373988591505,-41.636592151240855,5,11,XAUUSD,sl_fib0.8_tp_anchor
43,14,29,32.55813953488372,1.3322000526184907,156.91708971297157,1.5691708971297156,-1.5223765405990162,44.94816419990208,-16.288179623643178,29,14,PAXGUSDT,baseline_swing0.09_anchor0.14
41,20,21,48.78048780487805,1.0134380685509718,8.70363212709708,0.0870363212709708,-2.316169128188376,32.81941931909363,-30.842131154989413,21,20,PAXGUSDT,sl_fib0.7_tp_anchor
41,20,21,48.78048780487805,0.992621043486968,-4.879466731594221,-0.0487946673159422,-2.4219223770052123,32.81941931909363,-31.48894538635538,21,20,PAXGUSDT,sl_fib0.7buf_tp_anchor
40,19,21,47.5,0.8847888574746383,-74.62050053395433,-0.7462050053395433,-2.853249128392854,30.161276511622454,-30.842131154989413,21,19,PAXGUSDT,sl_fib0.7_tp_anchor0.14
29,12,17,41.37931034482759,1.35211126327924,381.2282573898083,3.8122825738980826,-7.806094645883185,121.99340437085243,-63.68779970943674,17,12,PAXGUSDT,sl_fib0.7_tp_rr2
6,5,1,83.33333333333334,6.770309209416978,703.7384351829551,7.037384351829551,-1.2195853110167445,165.13939325692587,-121.95853110167386,1,4,PAXGUSDT,sl_fib0.7_tp_rr3
38,14,24,36.84210526315789,1.2267240053666317,122.14694899988535,1.2214694899988534,-1.8515724784417036,47.20673309955088,-22.447804766409487,24,14,PAXGUSDT,sl_swing0.25_tp_anchor
35,16,19,45.714285714285715,1.2095313470393587,127.07967614673362,1.2707967614673361,-1.5816672773697065,45.84840587188114,-31.92077988438779,19,16,PAXGUSDT,sl_swing0.50_tp_anchor
28,6,22,21.428571428571427,0.4613051691846816,-307.4765617041976,-3.074765617041976,-4.184099780036031,43.88400729673586,-25.944572976573394,22,6,PAXGUSDT,sl_fib0.7_tp_anchor_minRR1.5
27,6,21,22.22222222222222,0.641160053134765,-151.61877349660062,-1.5161877349660062,-3.21940956512246,45.15100289164919,-20.12022813554745,21,6,PAXGUSDT,sl_fib0.7_tp_anchor_minRR2
42,20,22,47.61904761904761,0.8178583630220992,-146.18136904182575,-1.4618136904182575,-3.7972588558023377,32.81941931909363,-36.480443428349936,22,20,PAXGUSDT,sl_fib0.75_tp_anchor
28,14,14,50.0,1.7149757654592255,403.61658452760275,4.036165845276027,-2.115764997531096,69.15245986970835,-40.322703832022455,14,14,PAXGUSDT,sl_fib0.8_tp_anchor
