entry_time,direction,entry_price,exit_time,exit_price,sl_price,tp_price,qty,pnl,exit_hit,anchor_high,anchor_low
2025-08-23 00:10:00+00:00,short,3362.54,2025-08-26 00:55:00+00:00,3368.0885539999995,3368.0885539999995,3306.392478,0.8921826952244435,-4.950323862317932,SL,3380.0,3301.77
2025-08-26 07:10:00+00:00,short,3360.8,2025-08-26 15:45:00+00:00,3372.0921539999995,3372.0921539999995,3306.392478,0.892644608426565,-10.079880385621845,SL,3366.18,3301.77
2025-09-13 05:40:00+00:00,long,3634.74,2025-09-14 14:50:00+00:00,3676.54562,3625.294296,3676.54562,0.8253685270473267,34.505043001700336,TP,3681.7,3588.12
2025-09-14 14:50:00+00:00,long,3652.14,2025-09-14 23:20:00+00:00,3643.21815,3643.21815,3676.54562,0.8214361990504198,-7.328730552497759,SL,3681.7,3614.09
2025-09-19 05:05:00+00:00,long,3667.99,2025-09-22 06:25:00+00:00,3707.4922340000003,3644.826701,3707.4922340000003,0.8178866354597477,32.30834925940406,TP,3712.69,3614.09
2025-09-26 01:00:00+00:00,long,3757.75,2025-09-26 02:20:00+00:00,3744.9764849999997,3744.9764849999997,3794.6800000000003,0.798350076508549,-10.19773667753335,SL,3800.0,3638.08
2025-10-04 00:05:00+00:00,long,3887.78,2025-10-04 12:40:00+00:00,3899.113588,3880.174697,3899.113588,0.7716486015155178,8.745547330353027,TP,3904.58,3638.08
2025-10-11 15:00:00+00:00,long,4001.02,2025-10-11 18:10:00+00:00,3979.2254709999997,3979.2254709999997,4073.768728,0.7498087987563171,-16.341729608949898,SL,4079.48,3638.08
2025-10-19 22:00:00+00:00,long,4247.68,2025-10-20 00:10:00+00:00,4228.500921000001,4228.500921000001,4783.294,0.7062678921199337,-13.545567698131366,SL,4790.0,3638.08
2025-10-23 09:55:00+00:00,long,4126.47,2025-10-24 08:10:00+00:00,4053.488574,4053.488574,4395.497676,0.7270136460461363,-53.058492609906494,SL,4401.66,3638.08
2025-10-24 16:20:00+00:00,long,4129.44,2025-10-24 17:55:00+00:00,4102.184708,4102.184708,4395.497676,0.7264907590375451,-19.800717772869806,SL,4401.66,4020.0
2025-11-02 17:55:00+00:00,short,3997.32,2025-11-03 03:00:00+00:00,4006.3925109999996,4006.3925109999996,3905.4600000000005,0.7505028369007235,-6.808945243312565,SL,4040.0,3900.0
2025-11-17 07:15:00+00:00,long,4060.57,2025-11-17 19:30:00+00:00,4037.532947,4037.532947,4231.787192000001,0.7388125312456133,-17.02006343936936,SL,4237.72,4022.35
2025-11-22 04:10:00+00:00,short,4057.55,2025-11-23 23:05:00+00:00,4066.3564299999994,4066.3564299999994,4027.98129,0.7393624231371148,-6.511143423986777,SL,4130.4,4022.35
2025-12-05 04:00:00+00:00,long,4215.0,2025-12-08 15:05:00+00:00,4197.858524,4197.858524,4277.0038,0.7117437722419929,-12.200338790035435,SL,4283.0,4169.29
2025-12-08 20:15:00+00:00,long,4198.52,2025-12-09 05:55:00+00:00,4190.824860000001,4190.824860000001,4254.5153279999995,0.714537503691777,-5.498466126158606,SL,4260.48,4169.29
2025-12-15 04:20:00+00:00,long,4342.21,2025-12-15 06:20:00+00:00,4357.44103,4331.0985,4357.44103,0.6908924257463366,10.523003263315168,TP,4363.55,4169.29
2025-12-19 05:30:00+00:00,long,4335.31,2025-12-19 15:55:00+00:00,4357.44103,4323.914971,4357.44103,0.6919920374782886,15.314496541192822,TP,4363.55,4287.05
2025-12-21 10:10:00+00:00,long,4357.34,2025-12-22 00:20:00+00:00,4378.851014,4348.572759,4378.851014,0.6884934386575295,14.810191997870056,TP,4384.99,4287.05
2025-12-31 09:40:00+00:00,long,4351.62,2026-01-12 00:30:00+00:00,4571.580814,4319.638822999999,4571.580814,0.6893984309291712,151.6406400375033,TP,4577.99,4287.05
2026-01-17 12:05:00+00:00,long,4612.61,2026-01-17 18:50:00+00:00,4604.55217,4604.55217,4642.651176,0.6503909933855236,-5.240740058231505,SL,4649.16,4422.05
2026-01-17 21:15:00+00:00,long,4609.49,2026-01-18 23:00:00+00:00,4642.651176,4598.787363,4642.651176,0.650831219939733,21.582328630716535,TP,4649.16,4540.0
2026-02-16 07:40:00+00:00,long,5008.7,2026-02-16 14:40:00+00:00,4991.893249000001,4991.893249000001,5110.8348000000005,0.5989578134046759,-10.066534829396351,SL,5118.0,4894.13
2026-02-20 12:20:00+00:00,short,5026.07,2026-02-20 20:15:00+00:00,5092.579199999999,5092.579199999999,4800.521334000001,0.5968878268706962,-39.69853185490822,SL,5118.0,4793.81
2026-02-27 11:30:00+00:00,long,5196.1,2026-02-27 13:25:00+00:00,5262.17263,5178.665003,5262.17263,0.577356093993572,38.14743557668231,TP,5269.55,5116.6
2026-03-03 00:05:00+00:00,long,5359.6,2026-03-03 05:50:00+00:00,5328.639904,5328.639904,5592.16,0.559743264422718,-17.32970520188113,SL,5600.0,5116.6
2026-03-29 23:30:00+00:00,short,4466.0,2026-03-30 05:50:00+00:00,4528.792248,4528.792248,4146.857484000001,0.6717420510523959,-42.18019346171054,SL,4601.84,4141.06
2026-04-09 01:10:00+00:00,long,4706.5,2026-04-09 15:30:00+00:00,4776.9728620000005,4679.7844,4776.9728620000005,0.6374163391054924,44.92055370232691,TP,4783.67,4588.55
2026-04-20 04:05:00+00:00,long,4777.2,2026-04-20 05:10:00+00:00,4767.7052,4767.7052,4866.037996,0.6279829188646069,-5.962572218035347,SL,4872.86,4588.55
2026-04-23 12:00:00+00:00,long,4718.49,2026-04-23 17:40:00+00:00,4669.024092999999,4669.024092999999,4808.7782720000005,0.6357966213767541,-31.450256543937172,SL,4815.52,4588.55
2026-04-26 20:00:00+00:00,long,4708.55,2026-04-26 21:45:00+00:00,4699.26685,4699.26685,4808.7782720000005,0.6371388219303182,-5.914655254802565,SL,4815.52,4651.5
