entry_time,direction,entry_price,exit_time,exit_price,sl_price,tp_price,pnl,exit_hit,mode,poi_kind
2025-08-09 22:00:00+00:00,short,3385.93,2025-08-09 23:10:00+00:00,3383.35,3387.51,3383.35,2.285930305706197,TP,aggressive,fvg
2025-08-10 04:30:00+00:00,long,3387.19,2025-08-10 07:50:00+00:00,3383.55,3383.55,3393.8,-3.223911265680289,SL,aggressive,fvg
2025-08-10 14:20:00+00:00,long,3385.18,2025-08-10 14:35:00+00:00,3384.61,3384.61,3386.22,-0.5051430056892475,SL,aggressive,fvg
2025-08-10 22:15:00+00:00,long,3385.01,2025-08-11 00:00:00+00:00,3382.35,3382.35,3389.28,-2.357452415207319,SL,aggressive,ob
2025-08-12 12:55:00+00:00,short,3349.61,2025-08-12 13:35:00+00:00,3340.4,3354.69,3340.4,8.248721492949958,TP,aggressive,ob
2025-08-13 13:15:00+00:00,long,3346.6,2025-08-13 13:15:00+00:00,3345.15,3345.15,3348.88,-1.2998266897745336,SL,aggressive,ob
2025-08-17 05:55:00+00:00,long,3332.37,2025-08-17 10:10:00+00:00,3328.01,3328.01,3339.51,-3.925134363830853,SL,aggressive,fvg
2025-08-17 12:10:00+00:00,long,3328.53,2025-08-17 23:15:00+00:00,3326.5,3326.5,3331.72,-1.8296365062056223,SL,aggressive,fvg
2025-08-22 13:45:00+00:00,short,3326.84,2025-08-22 14:00:00+00:00,3329.25,3329.25,3323.06,-2.1732334587775677,SL,aggressive,fvg
2025-08-23 22:15:00+00:00,short,3360.23,2025-08-24 15:30:00+00:00,3361.97,3361.97,3357.02,-1.553465090187084,SL,aggressive,fvg
2025-08-25 18:15:00+00:00,long,3361.74,2025-08-25 19:20:00+00:00,3359.14,3359.14,3366.18,-2.3202270252903934,SL,aggressive,ob
2025-08-25 19:25:00+00:00,long,3359.95,2025-08-25 19:40:00+00:00,3358.41,3358.41,3362.71,-1.3750204616139798,SL,aggressive,ob
2025-08-29 09:40:00+00:00,long,3409.62,2025-08-29 10:15:00+00:00,3408.09,3408.09,3413.96,-1.3461910711455343,SL,aggressive,ob
