entry_time,direction,exit_time,pnl,legs,exit_hit
2025-08-26 16:45:00+00:00,long,2025-08-26 17:20:00+00:00,-0.5927118332666546,remainder,next_resistance
2025-08-27 18:10:00+00:00,long,2025-08-27 18:10:00+00:00,-0.7355646291550271,remainder,ema21_close
2025-08-27 20:25:00+00:00,long,2025-08-27 21:15:00+00:00,-1.1759311853723746,"partial,remainder",partial_10pip|sl_be
2025-08-31 16:55:00+00:00,long,2025-08-31 17:20:00+00:00,-0.7796447265227144,remainder,sl
2025-08-31 20:45:00+00:00,long,2025-08-31 21:10:00+00:00,-0.6098192765872648,remainder,next_resistance
2025-09-09 08:35:00+00:00,short,2025-09-09 08:35:00+00:00,-0.7884633416224476,remainder,sl
2025-09-12 11:10:00+00:00,long,2025-09-12 11:15:00+00:00,-0.7875478481710774,remainder,sl
2025-09-19 19:35:00+00:00,long,2025-09-19 19:50:00+00:00,-1.1144132756268823,"partial,remainder",partial_10pip|next_resistance
2025-09-25 19:30:00+00:00,long,2025-09-25 19:30:00+00:00,-0.8081809507503991,remainder,sl
2025-09-29 09:35:00+00:00,long,2025-09-29 09:35:00+00:00,-0.7627589417210401,remainder,sl
2025-10-07 10:05:00+00:00,long,2025-10-07 10:50:00+00:00,-1.1859372155592705,"partial,remainder",partial_10pip|sl
2025-10-16 12:05:00+00:00,long,2025-10-16 12:15:00+00:00,-0.7939915384219389,remainder,ema21_close
2025-11-01 20:25:00+00:00,long,2025-11-01 20:30:00+00:00,-0.8184146283418613,remainder,sl
2025-11-15 16:05:00+00:00,long,2025-11-15 16:05:00+00:00,-0.7628114669340627,remainder,sl
2025-11-18 09:35:00+00:00,long,2025-11-18 09:35:00+00:00,-1.1863574923445137,"partial,remainder",partial_10pip|sl
2025-11-26 18:00:00+00:00,long,2025-11-26 18:05:00+00:00,-1.1882673326716688,"partial,remainder",partial_10pip|sl
2025-11-27 16:00:00+00:00,long,2025-11-27 16:00:00+00:00,-0.7893286611269529,remainder,sl
2025-11-30 19:40:00+00:00,long,2025-11-30 19:40:00+00:00,-0.7737356227839773,remainder,ema21_close
2025-12-05 10:50:00+00:00,long,2025-12-05 10:50:00+00:00,-0.7602230177157221,remainder,sl
2025-12-05 11:00:00+00:00,long,2025-12-05 11:00:00+00:00,-0.7595766402046185,remainder,sl
2025-12-06 13:10:00+00:00,short,2025-12-06 13:10:00+00:00,-0.772239239118647,remainder,sl
2025-12-14 13:30:00+00:00,long,2025-12-14 13:45:00+00:00,-0.7598054612633771,remainder,sl
2025-12-19 13:55:00+00:00,long,2025-12-19 13:55:00+00:00,-0.7591246011550401,remainder,sl
2025-12-22 17:30:00+00:00,long,2025-12-22 17:30:00+00:00,-0.7599139044843641,remainder,sl
2025-12-29 11:25:00+00:00,short,2025-12-29 11:25:00+00:00,-0.8325907388161964,remainder,ema21_close
2025-12-31 14:30:00+00:00,long,2025-12-31 14:30:00+00:00,-1.1898860158660394,"partial,remainder",partial_10pip|sl
2026-01-02 11:35:00+00:00,long,2026-01-02 11:35:00+00:00,-0.8592077281720356,remainder,sl
2026-01-11 15:15:00+00:00,short,2026-01-11 15:35:00+00:00,-0.7896277016150335,remainder,ema21_close
2026-01-12 19:05:00+00:00,short,2026-01-12 19:05:00+00:00,-0.8086091294426765,remainder,sl
2026-01-13 10:50:00+00:00,short,2026-01-13 10:50:00+00:00,-0.8479476566963698,remainder,sl
2026-01-15 11:50:00+00:00,long,2026-01-15 11:50:00+00:00,-0.6067398843480212,remainder,next_resistance
2026-01-25 11:15:00+00:00,short,2026-01-25 11:15:00+00:00,-0.837898668273634,remainder,sl
2026-02-23 17:20:00+00:00,long,2026-02-23 17:25:00+00:00,-1.1987517495343387,"partial,remainder",partial_10pip|sl
2026-02-27 12:40:00+00:00,long,2026-02-27 12:50:00+00:00,-0.7953598574745024,remainder,sl
2026-03-01 07:35:00+00:00,long,2026-03-01 07:35:00+00:00,-0.8835093367472187,remainder,sl
2026-03-07 17:45:00+00:00,long,2026-03-07 17:55:00+00:00,-0.7584181238800141,remainder,sl
2026-03-14 11:10:00+00:00,short,2026-03-14 11:45:00+00:00,-0.7629696429279348,remainder,ema21_close
2026-03-16 19:35:00+00:00,long,2026-03-16 19:35:00+00:00,-1.196091496576308,"partial,remainder",partial_10pip|sl
2026-04-14 20:30:00+00:00,long,2026-04-14 20:30:00+00:00,-0.772405894492646,remainder,sl
2026-04-24 15:15:00+00:00,long,2026-04-24 15:20:00+00:00,-1.1927864053345867,"partial,remainder",partial_10pip|sl
2026-05-03 13:20:00+00:00,long,2026-05-03 13:20:00+00:00,-0.7718150364791507,remainder,sl
2026-05-03 13:30:00+00:00,long,2026-05-03 13:40:00+00:00,-0.7814500556312434,remainder,sl
2026-05-03 15:35:00+00:00,long,2026-05-03 15:35:00+00:00,-0.757686167815413,remainder,sl
2026-05-07 08:35:00+00:00,long,2026-05-07 08:35:00+00:00,-0.7610620337474849,remainder,sl
2026-05-08 18:50:00+00:00,long,2026-05-08 18:55:00+00:00,-0.7916073331697078,remainder,sl
2026-05-12 21:15:00+00:00,long,2026-05-12 21:15:00+00:00,-0.7573038059020332,remainder,sl
2026-05-17 16:10:00+00:00,long,2026-05-17 16:25:00+00:00,-0.753256099691427,remainder,ema21_close
2026-05-21 17:10:00+00:00,long,2026-05-21 17:10:00+00:00,-1.1897218182355194,"partial,remainder",partial_10pip|sl
2026-05-21 18:40:00+00:00,long,2026-05-21 18:40:00+00:00,-0.7525643559526888,remainder,sl
2026-06-03 19:55:00+00:00,long,2026-06-03 19:55:00+00:00,-0.7833995913404924,remainder,sl
2026-06-08 16:55:00+00:00,long,2026-06-08 16:55:00+00:00,-0.7578998042766796,remainder,sl
2026-06-10 21:40:00+00:00,short,2026-06-10 21:40:00+00:00,-0.8046258349376276,remainder,sl
2026-06-12 10:15:00+00:00,long,2026-06-12 10:15:00+00:00,-0.812883576108504,remainder,sl
2026-06-13 13:45:00+00:00,long,2026-06-13 14:05:00+00:00,-0.778056043460715,remainder,ema21_close
2026-06-19 18:20:00+00:00,long,2026-06-19 18:20:00+00:00,-0.7575477923986986,remainder,sl
2026-06-23 21:50:00+00:00,long,2026-06-23 22:00:00+00:00,-0.8336677694210449,remainder,sl
2026-07-02 13:30:00+00:00,long,2026-07-02 13:30:00+00:00,-1.1833879928442759,"partial,remainder",partial_10pip|sl
2026-07-17 07:10:00+00:00,long,2026-07-17 07:10:00+00:00,-0.7851423260037701,remainder,sl
2026-07-23 20:55:00+00:00,long,2026-07-23 22:05:00+00:00,-0.7453107114237336,remainder,ema21_close
2026-07-24 10:55:00+00:00,long,2026-07-24 11:00:00+00:00,-1.182220268906211,"partial,remainder",partial_10pip|sl
2026-07-24 19:50:00+00:00,short,2026-07-24 20:55:00+00:00,-1.1359499011619463,"partial,remainder",partial_10pip|next_support
2026-07-30 11:30:00+00:00,long,2026-07-30 11:30:00+00:00,-0.7858852862019171,remainder,sl
2026-07-30 11:40:00+00:00,long,2026-07-30 11:45:00+00:00,-0.7626866467306821,remainder,sl
