entry_time,exit_time,entry,exit,sl,tp,pnl,exit_hit,risk,reward
2025-08-07 19:35:00+00:00,2025-08-08 01:40:00+00:00,3391.6949999999997,3380.14908,3381.84,3411.404999999999,-2.700384922582893,sl,9.854999999999563,19.709999999999127
2025-08-08 03:35:00+00:00,2025-08-08 10:30:00+00:00,3389.63397,3378.999655,3380.69,3407.5219099999995,-2.566390547323941,sl,8.943969999999808,17.887939999999617
2025-08-08 12:25:00+00:00,2025-08-08 14:25:00+00:00,3386.1022049999997,3377.3105,3379.0,3400.306614999999,-2.2956963837072983,sl,7.102204999999685,14.20440999999937
2025-08-08 16:10:00+00:00,2025-08-08 18:00:00+00:00,3388.323315,3375.5913600000003,3377.28,3410.409945,-2.874744256575151,sl,11.043314999999893,22.086629999999786
2025-08-08 23:00:00+00:00,2025-08-08 23:35:00+00:00,3390.4643849999998,3382.278015,3383.97,3403.4531549999997,-2.2037540516896414,sl,6.494384999999966,12.988769999999931
2025-08-09 01:40:00+00:00,2025-08-09 04:45:00+00:00,3391.024665,3382.917695,3384.61,3403.8539949999995,-2.191387989076657,sl,6.414664999999786,12.829329999999572
2025-08-09 09:55:00+00:00,2025-08-11 00:00:00+00:00,3388.8535799999995,3378.419945,3380.11,3406.3407399999983,-2.5341011519038474,sl,8.743579999999383,17.487159999998767
2025-08-11 13:45:00+00:00,2025-08-11 14:35:00+00:00,3354.4463849999997,3343.46743,3345.14,3373.0591549999995,-2.6302656723952715,sl,9.306384999999864,18.612769999999728
2025-08-11 17:40:00+00:00,2025-08-11 21:40:00+00:00,3353.0757,3337.9601850000004,3339.63,3379.9670999999994,-3.245221234481656,sl,13.44569999999976,26.89139999999952
2025-08-12 00:10:00+00:00,2025-08-12 06:15:00+00:00,3347.83308,3340.329,3342.0,3359.4992399999996,-2.1146897424315156,sl,5.833079999999882,11.666159999999763
2025-08-12 12:35:00+00:00,2025-08-12 14:10:00+00:00,3351.0346799999998,3336.8407450000004,3338.51,3376.084039999999,-3.107825368507145,sl,12.524679999999535,25.04935999999907
2025-08-12 15:30:00+00:00,2025-08-14 14:05:00+00:00,3355.03668,3330.603865,3332.27,3400.5700400000005,-4.624372472967739,sl,22.76668000000018,45.53336000000036
