entry_time,direction,entry_price,exit_time,exit_price,sl_price,tp_price,pnl,exit_hit,signal_rsi
2025-08-11 09:12:00+00:00,long,3354.36,2025-08-11 09:15:00+00:00,3354.0,3354.0,3357.767,-0.32196901942557804,SL,34.94282126184311
2025-08-17 12:06:00+00:00,long,3328.53,2025-08-17 12:21:00+00:00,3327.0,3327.0,3329.453,-1.3789871204407351,SL,33.15341022467469
2025-08-21 19:51:00+00:00,long,3332.21,2025-08-21 19:54:00+00:00,3331.48,3331.48,3333.2305,-0.657221483640003,SL,34.264609341216726
2025-08-31 18:39:00+00:00,long,3464.64,2025-08-31 18:51:00+00:00,3463.85,3463.85,3466.2345,-0.6840537545026009,SL,34.16427938992432
2025-09-08 20:54:00+00:00,short,3642.82,2025-09-08 20:57:00+00:00,3641.1715000000004,3643.39,3641.1715000000004,1.3576020775112017,TP,67.11166562978349
2025-09-10 18:57:00+00:00,long,3642.37,2025-09-10 19:27:00+00:00,3639.99,3639.99,3645.005,-1.960262137015275,SL,34.85763684379815
2025-09-14 15:33:00+00:00,short,3655.36,2025-09-14 15:51:00+00:00,3655.76,3655.76,3651.2865000000006,-0.3282850389565659,SL,80.3834074605062
2025-09-14 22:12:00+00:00,long,3648.75,2025-09-14 22:15:00+00:00,3647.6,3647.6,3650.8574999999996,-0.9455292908531067,SL,34.45840952439143
2025-09-15 10:06:00+00:00,short,3651.98,2025-09-15 10:42:00+00:00,3647.9714999999997,3653.66,3647.9714999999997,3.2928712643555285,TP,65.90136610474595
2025-09-19 19:54:00+00:00,short,3685.51,2025-09-19 20:03:00+00:00,3684.3360000000002,3687.51,3684.3360000000002,0.9556343626797741,TP,65.15295270036525
2025-09-20 08:57:00+00:00,short,3687.48,2025-09-20 09:00:00+00:00,3688.18,3688.18,3685.580499999999,-0.5694946142079291,SL,66.68094946354498
2025-09-20 09:00:00+00:00,short,3687.79,2025-09-20 09:03:00+00:00,3688.1,3688.1,3685.675,-0.25218355708970314,SL,68.64043539171517
2025-09-21 11:57:00+00:00,long,3684.39,2025-09-21 12:21:00+00:00,3686.6465,3684.0,3686.6465,1.837346209277487,TP,33.638456841388205
2025-09-22 18:45:00+00:00,short,3753.68,2025-09-22 18:48:00+00:00,3754.49,3754.49,3751.8735,-0.6473647194219636,SL,66.38397874874155
