symbol,timeframe,filter_mode,volume_filter,session_filter,trades,wins,wr,pf,net,net_pct,final_capital,max_dd_usd,max_dd_pct,total_fees,tp_hits,sl_hits
XAUUSD,1m,baseline,False,False,2054,657,31.98636806231743,1.0310441548092126,54.122073118149274,0.5412207311814927,10054.12207311815,-167.588325300856,-1.6441252760376632,0.0,657,1396
XAUUSD,1m,volume_only,True,False,1824,583,31.962719298245613,1.0071078689914308,10.356084604456555,0.10356084604456554,10010.356084604457,-135.09367398707946,-1.334968476042359,0.0,583,1240
XAUUSD,1m,session_only,False,True,1561,494,31.64638052530429,0.9643139731616643,-47.20957101374006,-0.4720957101374006,9952.79042898626,-176.10644296309147,-1.7416614133168484,0.0,494,1066
XAUUSD,1m,both,True,True,1345,415,30.855018587360593,0.9423222871065218,-62.390940229690386,-0.6239094022969038,9937.60905977031,-142.42832648532203,-1.4156052580343041,0.0,415,929
XAUUSD,5m,baseline,False,False,462,172,37.22943722943723,1.1106263794901319,90.12513501502508,0.9012513501502508,10090.125135015025,-95.00228330032951,-0.9365349014893347,0.0,171,290
XAUUSD,5m,volume_only,True,False,423,164,38.77068557919622,1.2154859814096088,145.90723091358814,1.4590723091358815,10145.907230913588,-77.37156997016791,-0.7641675500462013,0.0,163,259
XAUUSD,5m,session_only,False,True,395,140,35.44303797468354,1.1002984710789565,68.4405203496517,0.684405203496517,10068.440520349652,-83.25890802204776,-0.8221191153337402,0.0,139,255
XAUUSD,5m,both,True,True,321,113,35.202492211838006,1.0860115244884967,46.411922839872204,0.46411922839872205,10046.411922839872,-54.54138536400933,-0.5421730284304164,0.0,112,208
PAXGUSDT,1m,baseline,False,False,2058,482,23.420796890184644,0.2655121665153593,-2506.259198629331,-25.06259198629331,7493.740801370669,-2506.259198629331,-25.06259198629331,1800.231257923746,535,1522
PAXGUSDT,1m,volume_only,True,False,1853,408,22.018348623853214,0.23832400758463185,-2339.4112700611586,-23.394112700611586,7660.588729938841,-2339.4112700611586,-23.394112700611586,1636.5286936861114,461,1391
PAXGUSDT,1m,session_only,False,True,1631,362,22.194972409564684,0.2407215676595893,-2104.1339520268957,-21.041339520268956,7895.866047973104,-2104.1339520268957,-21.041339520268956,1459.8672536320878,406,1224
PAXGUSDT,1m,both,True,True,1378,283,20.53701015965167,0.21865008162191069,-1857.5395418188073,-18.575395418188073,8142.460458181193,-1857.5395418188073,-18.575395418188073,1252.3066998707407,320,1057
PAXGUSDT,5m,baseline,False,False,486,151,31.069958847736622,0.5309918013927085,-594.9457753482784,-5.949457753482784,9405.054224651722,-606.5765153866159,-6.06576515386616,473.3186921802515,154,331
PAXGUSDT,5m,volume_only,True,False,469,144,30.703624733475483,0.501053693044395,-555.2105025854435,-5.552105025854435,9444.789497414557,-568.3603084422775,-5.683603084422775,457.43629115762826,147,321
PAXGUSDT,5m,session_only,False,True,442,132,29.86425339366516,0.48672414918463136,-579.7835483193758,-5.797835483193758,9420.216451680624,-584.7047180455374,-5.847047180455375,430.57504437556884,134,307
PAXGUSDT,5m,both,True,True,375,106,28.26666666666667,0.4576169499641966,-507.763088049418,-5.07763088049418,9492.236911950582,-515.7809626470262,-5.157809626470262,366.21103603764243,108,266
