entry_time,direction,entry_price,exit_time,exit_price,sl_price,tp_price,pnl,exit_hit,mode,poi_kind,step4
2025-08-09 14:15:00+00:00,short,3389.63,2025-08-09 14:45:00+00:00,3390.52,3390.52,3388.36,-0.7876965922533191,SL,aggressive,ob,aggressive_sweep
2025-08-16 13:20:00+00:00,short,3328.76,2025-08-16 13:55:00+00:00,3331.11,3331.11,3327.21,-2.1179057667118464,SL,aggressive,fvg,aggressive_sweep
2025-08-17 10:20:00+00:00,long,3328.59,2025-08-17 10:35:00+00:00,3329.07,3328.12,3329.07,0.43261561201591503,TP,aggressive,fvg,aggressive_sweep
2025-08-26 00:40:00+00:00,short,3362.14,2025-08-26 00:40:00+00:00,3363.8,3363.8,3360.59,-1.4811994741447196,SL,aggressive,ob,aggressive_sweep
2025-08-30 11:15:00+00:00,long,3459.15,2025-08-30 11:15:00+00:00,3458.4199999999996,3458.4199999999996,3460.89,-0.633103508087657,SL,aggressive,fvg,aggressive_sweep
2025-08-30 12:00:00+00:00,long,3457.16,2025-08-30 12:00:00+00:00,3458.44,3456.0,3458.44,1.1107382938598735,TP,aggressive,fvg,aggressive_sweep
2025-08-31 03:45:00+00:00,long,3460.74,2025-08-31 04:00:00+00:00,3461.59,3459.27,3461.59,0.7368366303163749,TP,aggressive,fvg,aggressive_sweep
2025-09-03 03:35:00+00:00,long,3544.43,2025-09-03 04:35:00+00:00,3548.0,3542.1,3548.0,3.0216424079472555,TP,aggressive,ob,aggressive_sweep
2025-09-04 11:55:00+00:00,short,3552.84,2025-09-04 12:15:00+00:00,3556.96,3556.96,3550.7,-3.478907015232792,SL,aggressive,ob,aggressive_sweep
2025-09-04 12:20:00+00:00,short,3555.95,2025-09-04 12:35:00+00:00,3550.92,3558.3300000000004,3550.92,4.243591726542622,TP,aggressive,ob,aggressive_sweep
2025-09-07 08:10:00+00:00,long,3614.73,2025-09-07 09:40:00+00:00,3621.66,3613.1299999999997,3621.66,5.751466914541199,TP,aggressive,ob,aggressive_sweep
2025-09-09 14:45:00+00:00,long,3655.65,2025-09-09 15:00:00+00:00,3651.4199999999996,3651.4199999999996,3658.75,-3.471338886381743,SL,aggressive,ob,aggressive_sweep
2025-09-11 12:25:00+00:00,short,3626.01,2025-09-11 12:30:00+00:00,3627.88,3627.88,3621.13,-1.5471551374650572,SL,aggressive,ob,aggressive_sweep
2025-09-15 02:25:00+00:00,short,3650.24,2025-09-15 02:25:00+00:00,3651.03,3651.03,3649.79,-0.6492723766111969,SL,aggressive,fvg,aggressive_sweep
2025-09-28 22:05:00+00:00,short,3773.16,2025-09-28 22:05:00+00:00,3774.3700000000003,3774.3700000000003,3772.56,-0.9620583277680972,SL,aggressive,ob,aggressive_sweep
2025-10-02 18:10:00+00:00,short,3856.49,2025-10-02 18:10:00+00:00,3856.01,3857.6000000000004,3856.01,0.37339653415377466,TP,aggressive,fvg,aggressive_sweep
2025-10-02 18:15:00+00:00,short,3856.49,2025-10-02 18:15:00+00:00,3857.4500000000003,3857.4500000000003,3856.01,-0.7467930683086106,SL,aggressive,fvg,aggressive_sweep
2025-10-02 19:00:00+00:00,short,3859.32,2025-10-02 19:00:00+00:00,3860.5800000000004,3860.5800000000004,3857.83,-0.9794471564940598,SL,aggressive,fvg,aggressive_sweep
2025-10-03 05:55:00+00:00,short,3862.0,2025-10-03 06:00:00+00:00,3859.31,3863.5800000000004,3859.31,2.08959088555157,TP,aggressive,fvg,aggressive_sweep
2025-10-03 06:25:00+00:00,short,3862.91,2025-10-03 06:30:00+00:00,3864.52,3864.52,3859.31,-1.2503527133690358,SL,aggressive,fvg,aggressive_sweep
2025-10-03 06:35:00+00:00,short,3862.96,2025-10-03 07:20:00+00:00,3865.04,3865.04,3859.31,-1.6153416033300323,SL,aggressive,fvg,aggressive_sweep
2025-10-04 00:00:00+00:00,short,3883.57,2025-10-04 00:05:00+00:00,3886.75,3886.75,3881.55,-2.456502650911277,SL,aggressive,ob,aggressive_sweep
2025-10-05 15:25:00+00:00,long,3893.78,2025-10-05 16:00:00+00:00,3895.28,3892.1,3895.28,1.1556893301624642,TP,aggressive,fvg,aggressive_sweep
2025-10-06 17:35:00+00:00,long,3964.43,2025-10-06 17:40:00+00:00,3968.02,3958.3399999999997,3968.02,2.7166578801997856,TP,aggressive,fvg,aggressive_sweep
2025-10-12 12:50:00+00:00,long,4009.08,2025-10-12 12:50:00+00:00,4008.37,4008.37,4011.36,-0.5312939627046877,SL,aggressive,ob,aggressive_sweep
2025-10-16 05:00:00+00:00,long,4253.99,2025-10-16 05:05:00+00:00,4250.65,4250.65,4261.54,-2.355435720347353,SL,aggressive,fvg,aggressive_sweep
2025-10-16 05:10:00+00:00,long,4253.15,2025-10-16 05:10:00+00:00,4248.38,4248.38,4261.54,-3.3645650870527923,SL,aggressive,fvg,aggressive_sweep
2025-10-22 03:30:00+00:00,short,4121.9,2025-10-22 03:30:00+00:00,4125.92,4125.92,4110.02,-2.925835173100102,SL,aggressive,ob,aggressive_sweep
2025-10-28 13:55:00+00:00,short,3940.16,2025-10-28 13:55:00+00:00,3942.29,3942.29,3921.0,-1.6217615528304252,SL,aggressive,ob,aggressive_sweep
2025-10-31 02:00:00+00:00,long,4016.1,2025-10-31 02:00:00+00:00,4013.81,4013.81,4021.4,-1.7106147755284706,SL,aggressive,ob,aggressive_sweep
2025-11-03 10:10:00+00:00,long,3992.74,2025-11-03 11:10:00+00:00,4000.28,3979.7,4000.28,5.665282487715518,TP,aggressive,fvg,aggressive_sweep
2025-11-04 11:40:00+00:00,short,3991.47,2025-11-04 11:40:00+00:00,3990.5,3992.8100000000004,3990.5,0.7290547091671489,TP,aggressive,fvg,aggressive_sweep
2025-11-04 11:50:00+00:00,short,3992.36,2025-11-04 11:50:00+00:00,3993.5800000000004,3993.5800000000004,3990.5,-0.9167509943994939,SL,aggressive,fvg,aggressive_sweep
2025-11-04 11:55:00+00:00,short,3992.0,2025-11-04 12:00:00+00:00,3990.5,3995.3,3990.5,1.127254509018036,TP,aggressive,fvg,aggressive_sweep
2025-11-07 04:05:00+00:00,long,3985.75,2025-11-07 04:15:00+00:00,3988.23,3981.33,3988.23,1.866649940412734,TP,aggressive,ob,aggressive_sweep
2025-11-13 13:40:00+00:00,long,4215.23,2025-11-13 14:05:00+00:00,4212.71,4212.71,4228.69,-1.7934964402888054,SL,aggressive,fvg,aggressive_sweep
2025-11-13 22:45:00+00:00,short,4164.61,2025-11-13 23:05:00+00:00,4166.8,4166.8,4149.42,-1.577578692843154,SL,aggressive,fvg,aggressive_sweep
2025-11-13 23:10:00+00:00,short,4165.88,2025-11-13 23:15:00+00:00,4170.1900000000005,4170.1900000000005,4149.42,-3.1037859947961053,SL,aggressive,fvg,aggressive_sweep
2025-11-19 15:50:00+00:00,long,4097.03,2025-11-19 15:50:00+00:00,4094.2799999999997,4094.2799999999997,4102.76,-2.0136537931135483,SL,aggressive,fvg,aggressive_sweep
2025-11-24 01:15:00+00:00,long,4048.35,2025-11-24 01:20:00+00:00,4046.16,4046.16,4050.57,-1.6228833969395342,SL,aggressive,ob,aggressive_sweep
2025-11-24 01:30:00+00:00,long,4048.15,2025-11-24 01:30:00+00:00,4045.5499999999997,4045.5499999999997,4050.57,-1.9268060719096605,SL,aggressive,ob,aggressive_sweep
2025-11-29 15:55:00+00:00,long,4246.17,2025-11-29 16:00:00+00:00,4245.0199999999995,4245.0199999999995,4249.89,-0.8124969089795362,SL,aggressive,ob,aggressive_sweep
2025-12-02 14:20:00+00:00,short,4228.31,2025-12-02 14:20:00+00:00,4227.67,4229.820000000001,4227.67,0.45408212737499903,TP,aggressive,fvg,aggressive_sweep
2025-12-03 12:05:00+00:00,short,4212.04,2025-12-03 12:10:00+00:00,4214.6900000000005,4214.6900000000005,4207.91,-1.8874464629969414,SL,aggressive,fvg,aggressive_sweep
2025-12-03 12:15:00+00:00,short,4212.75,2025-12-03 12:30:00+00:00,4215.02,4215.02,4207.91,-1.616521274702109,SL,aggressive,fvg,aggressive_sweep
2025-12-08 10:35:00+00:00,long,4217.19,2025-12-08 11:00:00+00:00,4213.139999999999,4213.139999999999,4219.8,-2.881065353944344,SL,aggressive,ob,aggressive_sweep
2025-12-12 01:30:00+00:00,long,4279.3,2025-12-12 02:10:00+00:00,4285.68,4278.05,4285.68,4.4726941322179625,TP,aggressive,fvg,aggressive_sweep
2025-12-14 22:40:00+00:00,long,4321.65,2025-12-14 22:45:00+00:00,4319.49,4319.49,4323.32,-1.4994273020720243,SL,aggressive,fvg,aggressive_sweep
2025-12-15 13:15:00+00:00,long,4350.51,2025-12-15 13:45:00+00:00,4357.71,4348.09,4357.71,4.964935145534535,TP,aggressive,fvg,aggressive_sweep
2025-12-18 19:55:00+00:00,long,4336.5,2025-12-18 19:55:00+00:00,4332.96,4332.96,4338.4,-2.4489795918367094,SL,aggressive,ob,aggressive_sweep
2025-12-18 20:00:00+00:00,long,4336.55,2025-12-18 20:00:00+00:00,4338.4,4332.139999999999,4338.4,1.2798192111236726,TP,aggressive,ob,aggressive_sweep
2025-12-21 08:05:00+00:00,long,4354.06,2025-12-21 08:10:00+00:00,4354.82,4352.19,4354.82,0.5236491917883369,TP,aggressive,ob,aggressive_sweep
2025-12-21 23:10:00+00:00,long,4357.69,2025-12-21 23:10:00+00:00,4359.0,4356.24,4359.0,0.9018539639123483,TP,aggressive,ob,aggressive_sweep
2025-12-22 11:55:00+00:00,long,4425.46,2025-12-22 12:15:00+00:00,4429.9,4424.69,4429.9,3.0098566024772113,TP,aggressive,fvg,aggressive_sweep
2025-12-28 20:10:00+00:00,short,4558.95,2025-12-28 22:10:00+00:00,4555.32,4561.650000000001,4555.32,2.3887079261672817,TP,aggressive,fvg,aggressive_sweep
2026-01-09 12:30:00+00:00,long,4478.46,2026-01-09 12:30:00+00:00,4477.7,4477.7,4478.78,-0.5091035757828929,SL,aggressive,fvg,aggressive_sweep
2026-01-09 13:35:00+00:00,long,4492.92,2026-01-09 15:15:00+00:00,4505.36,4470.23,4505.36,8.306402072593947,TP,aggressive,ob,aggressive_sweep
2026-01-11 21:15:00+00:00,short,4512.79,2026-01-11 21:30:00+00:00,4513.56,4513.56,4511.9,-0.5118784609967026,SL,aggressive,fvg,aggressive_sweep
2026-01-11 22:45:00+00:00,short,4521.38,2026-01-11 22:50:00+00:00,4523.360000000001,4523.360000000001,4519.48,-1.313758188871853,SL,aggressive,fvg,aggressive_sweep
2026-01-11 23:00:00+00:00,short,4521.15,2026-01-11 23:00:00+00:00,4523.6900000000005,4523.6900000000005,4519.48,-1.6854118974160601,SL,aggressive,fvg,aggressive_sweep
2026-01-13 06:40:00+00:00,long,4594.15,2026-01-13 06:40:00+00:00,4591.7,4591.7,4599.73,-1.5998606924021754,SL,aggressive,ob,aggressive_sweep
2026-01-16 06:05:00+00:00,short,4618.09,2026-01-16 06:10:00+00:00,4616.01,4622.2,4616.01,1.351207966930004,TP,aggressive,ob,aggressive_sweep
2026-01-16 10:30:00+00:00,short,4618.15,2026-01-16 10:50:00+00:00,4616.01,4620.3,4616.01,1.390167058237228,TP,aggressive,ob,aggressive_sweep
2026-01-16 21:25:00+00:00,short,4604.8,2026-01-17 00:20:00+00:00,4608.17,4608.17,4600.01,-2.195535093815078,SL,aggressive,fvg,aggressive_sweep
2026-01-17 22:15:00+00:00,short,4611.25,2026-01-17 22:25:00+00:00,4610.76,4612.04,4610.76,0.31878557874748603,TP,aggressive,ob,aggressive_sweep
2026-01-19 02:05:00+00:00,long,4671.79,2026-01-19 11:35:00+00:00,4669.75,4669.75,4692.99,-1.3099903891227755,SL,aggressive,fvg,aggressive_sweep
2026-01-24 22:30:00+00:00,long,5089.9,2026-01-24 23:15:00+00:00,5073.7,5073.7,5101.99,-9.548321185091938,SL,aggressive,fvg,aggressive_sweep
2026-01-24 23:25:00+00:00,long,5077.19,2026-01-24 23:55:00+00:00,5071.7,5071.7,5100.86,-3.243920357520468,SL,aggressive,fvg,aggressive_sweep
2026-01-25 00:05:00+00:00,long,5075.29,2026-01-25 02:35:00+00:00,5096.15,5069.59,5096.15,12.330329892478856,TP,aggressive,fvg,aggressive_sweep
2026-02-01 01:15:00+00:00,short,4860.76,2026-02-01 01:35:00+00:00,4871.91,4871.91,4848.9,-6.881639908162285,SL,aggressive,ob,aggressive_sweep
2026-02-01 01:45:00+00:00,short,4870.81,2026-02-01 02:20:00+00:00,4853.64,4878.28,4853.64,10.575243132045843,TP,aggressive,ob,aggressive_sweep
2026-02-16 09:10:00+00:00,short,5018.39,2026-02-16 09:15:00+00:00,5020.51,5020.51,5013.23,-1.2673387281577702,SL,aggressive,fvg,aggressive_sweep
2026-02-16 09:25:00+00:00,short,5019.24,2026-02-16 10:00:00+00:00,5022.41,5022.41,5013.23,-1.894709159155613,SL,aggressive,fvg,aggressive_sweep
2026-02-16 10:05:00+00:00,short,5019.6,2026-02-16 10:10:00+00:00,5016.15,5023.400000000001,5016.15,2.0619172842461913,TP,aggressive,fvg,aggressive_sweep
2026-02-17 09:55:00+00:00,short,4935.64,2026-02-17 10:10:00+00:00,4939.3,4939.3,4932.0,-2.2246355082622644,SL,aggressive,fvg,aggressive_sweep
2026-02-17 19:00:00+00:00,short,4906.85,2026-02-17 20:10:00+00:00,4872.86,4917.8,4872.86,20.781152878119784,TP,aggressive,ob,aggressive_sweep
2026-02-24 00:05:00+00:00,long,5246.8,2026-02-24 01:00:00+00:00,5235.79,5235.79,5269.55,-6.29526568575144,SL,aggressive,ob,aggressive_sweep
2026-02-27 02:05:00+00:00,short,5204.7,2026-02-27 02:05:00+00:00,5208.12,5208.12,5201.76,-1.9712951755144807,SL,aggressive,ob,aggressive_sweep
2026-03-08 01:50:00+00:00,short,5178.35,2026-03-08 01:55:00+00:00,5177.13,5181.02,5177.13,0.7067888420058057,TP,aggressive,fvg,aggressive_sweep
2026-03-08 06:20:00+00:00,short,5178.39,2026-03-08 07:10:00+00:00,5177.13,5180.12,5177.13,0.7299566081350872,TP,aggressive,fvg,aggressive_sweep
2026-03-09 05:25:00+00:00,short,5108.35,2026-03-09 05:30:00+00:00,5116.08,5116.08,5093.45,-4.539626298119488,SL,aggressive,ob,aggressive_sweep
2026-03-11 05:35:00+00:00,long,5199.52,2026-03-11 06:10:00+00:00,5206.96,5193.57,5206.96,4.292703941902098,TP,aggressive,fvg,aggressive_sweep
2026-03-26 00:50:00+00:00,short,4536.45,2026-03-26 00:50:00+00:00,4538.26,4538.26,4532.7,-1.19697119994736,SL,aggressive,fvg,aggressive_sweep
2026-03-26 13:50:00+00:00,short,4457.57,2026-03-26 13:55:00+00:00,4452.4,4465.8,4452.4,3.4794742426928167,TP,aggressive,fvg,aggressive_sweep
2026-03-26 14:00:00+00:00,short,4457.35,2026-03-26 14:00:00+00:00,4452.4,4462.12,4452.4,3.3315759363752413,TP,aggressive,fvg,aggressive_sweep
2026-03-26 14:25:00+00:00,short,4464.02,2026-03-26 14:30:00+00:00,4473.62,4473.62,4452.4,-6.45158399827921,SL,aggressive,fvg,aggressive_sweep
2026-03-26 20:20:00+00:00,short,4403.86,2026-03-26 20:20:00+00:00,4409.93,4409.93,4400.47,-4.1350088331604224,SL,aggressive,fvg,aggressive_sweep
2026-03-27 01:35:00+00:00,short,4416.36,2026-03-27 01:40:00+00:00,4422.8,4422.8,4413.76,-4.374643371464629,SL,aggressive,fvg,aggressive_sweep
2026-03-30 03:25:00+00:00,short,4521.61,2026-03-30 03:30:00+00:00,4514.95,4527.56,4514.95,4.418780036314402,TP,aggressive,ob,aggressive_sweep
2026-04-12 09:45:00+00:00,short,4715.65,2026-04-12 09:50:00+00:00,4714.3,4718.02,4714.3,0.8588423653151449,TP,aggressive,fvg,aggressive_sweep
2026-04-15 02:35:00+00:00,long,4818.41,2026-04-15 02:35:00+00:00,4816.15,4816.15,4826.15,-1.4071031730385448,SL,aggressive,ob,aggressive_sweep
2026-04-15 02:40:00+00:00,long,4821.29,2026-04-15 03:00:00+00:00,4812.599999999999,4812.599999999999,4826.15,-5.407266519956594,SL,aggressive,ob,aggressive_sweep
2026-04-18 03:45:00+00:00,long,4816.24,2026-04-18 03:50:00+00:00,4813.7,4813.7,4817.99,-1.5821470690829136,SL,aggressive,fvg,aggressive_sweep
2026-04-21 12:45:00+00:00,long,4766.81,2026-04-21 13:05:00+00:00,4764.5,4764.5,4776.14,-1.4538024381087562,SL,aggressive,ob,aggressive_sweep
2026-04-23 00:35:00+00:00,short,4731.12,2026-04-23 00:50:00+00:00,4736.45,4736.45,4726.74,-3.3797494039465885,SL,aggressive,fvg,aggressive_sweep
2026-04-26 09:00:00+00:00,short,4694.63,2026-04-26 09:15:00+00:00,4693.38,4695.55,4693.38,0.7987849947706209,TP,aggressive,ob,aggressive_sweep
2026-04-28 17:45:00+00:00,short,4594.13,2026-04-29 00:00:00+00:00,4596.54,4596.54,4582.87,-1.5737473689250334,SL,aggressive,ob,aggressive_sweep
2026-04-29 05:05:00+00:00,short,4596.48,2026-04-29 05:20:00+00:00,4591.79,4598.52,4591.79,3.0610380116956457,TP,aggressive,ob,aggressive_sweep
2026-05-01 19:50:00+00:00,long,4605.64,2026-05-01 19:50:00+00:00,4603.97,4603.97,4607.18,-1.0877967014356784,SL,aggressive,fvg,aggressive_sweep
2026-05-07 01:05:00+00:00,long,4681.34,2026-05-07 01:10:00+00:00,4686.71,4674.0599999999995,4686.71,3.4413223564192457,TP,aggressive,ob,aggressive_sweep
2026-05-07 15:55:00+00:00,long,4723.27,2026-05-07 15:55:00+00:00,4719.7,4719.7,4730.69,-2.2674968824568267,SL,aggressive,fvg,aggressive_sweep
2026-05-08 22:15:00+00:00,long,4707.52,2026-05-09 00:20:00+00:00,4705.5599999999995,4705.5599999999995,4708.8,-1.2490653252674098,SL,aggressive,ob,aggressive_sweep
2026-05-09 14:10:00+00:00,short,4705.46,2026-05-09 14:25:00+00:00,4705.01,4706.400000000001,4705.01,0.2869007493421375,TP,aggressive,ob,aggressive_sweep
2026-05-13 16:20:00+00:00,short,4693.81,2026-05-13 16:20:00+00:00,4697.79,4697.79,4691.73,-2.5437757386853512,SL,aggressive,ob,aggressive_sweep
2026-05-16 14:50:00+00:00,short,4532.01,2026-05-16 14:50:00+00:00,4530.44,4532.81,4530.44,1.039273964532703,TP,aggressive,fvg,aggressive_sweep
2026-05-18 05:30:00+00:00,short,4545.65,2026-05-18 05:30:00+00:00,4547.49,4547.49,4544.1,-1.2143477830454252,SL,aggressive,ob,aggressive_sweep
2026-05-18 07:45:00+00:00,short,4546.7,2026-05-18 07:45:00+00:00,4544.1,4550.83,4544.1,1.7155299447947663,TP,aggressive,ob,aggressive_sweep
2026-05-19 04:00:00+00:00,long,4542.63,2026-05-19 04:00:00+00:00,4540.96,4540.96,4543.75,-1.1028853329459405,SL,aggressive,fvg,aggressive_sweep
2026-05-20 06:55:00+00:00,short,4479.52,2026-05-20 07:00:00+00:00,4483.320000000001,4483.320000000001,4470.18,-2.5449155266636927,SL,aggressive,fvg,aggressive_sweep
2026-05-20 09:55:00+00:00,short,4491.51,2026-05-20 10:05:00+00:00,4493.09,4493.09,4486.15,-1.0553243786610251,SL,aggressive,fvg,aggressive_sweep
2026-05-20 13:15:00+00:00,short,4505.32,2026-05-20 13:20:00+00:00,4500.53,4506.58,4500.53,3.1895625615938252,TP,aggressive,ob,aggressive_sweep
2026-05-20 14:30:00+00:00,short,4506.39,2026-05-20 14:30:00+00:00,4506.900000000001,4506.900000000001,4500.53,-0.33951788460400784,SL,aggressive,ob,aggressive_sweep
2026-05-25 12:25:00+00:00,long,4550.2,2026-05-25 12:30:00+00:00,4557.63,4547.49,4557.63,4.8986857720541686,TP,aggressive,ob,aggressive_sweep
2026-05-27 16:55:00+00:00,short,4455.79,2026-05-27 18:20:00+00:00,4459.28,4459.28,4437.42,-2.3497516714206337,SL,aggressive,ob,aggressive_sweep
2026-05-27 22:05:00+00:00,short,4458.79,2026-05-27 23:05:00+00:00,4455.52,4466.400000000001,4455.52,2.2001484707731427,TP,aggressive,ob,aggressive_sweep
2026-05-29 18:50:00+00:00,long,4544.92,2026-05-29 19:45:00+00:00,4542.26,4542.26,4559.48,-1.7558064828422864,SL,aggressive,fvg,aggressive_sweep
2026-05-29 21:25:00+00:00,long,4529.75,2026-05-29 21:25:00+00:00,4528.08,4528.08,4532.5,-1.1060213036039999,SL,aggressive,ob,aggressive_sweep
2026-05-29 21:30:00+00:00,long,4529.16,2026-05-29 22:30:00+00:00,4532.46,4525.75,4532.46,2.18583578411903,TP,aggressive,ob,aggressive_sweep
2026-06-02 03:30:00+00:00,short,4491.19,2026-06-02 03:30:00+00:00,4493.38,4493.38,4487.7,-1.4628639625581479,SL,aggressive,fvg,aggressive_sweep
2026-06-02 03:35:00+00:00,short,4489.83,2026-06-02 03:45:00+00:00,4494.860000000001,4494.860000000001,4487.7,-3.360929032948233,SL,aggressive,fvg,aggressive_sweep
2026-06-02 03:50:00+00:00,short,4494.42,2026-06-02 04:00:00+00:00,4495.52,4495.52,4487.7,-0.7342437956401697,SL,aggressive,fvg,aggressive_sweep
2026-06-04 14:55:00+00:00,long,4460.1,2026-06-04 15:00:00+00:00,4462.75,4454.7,4462.75,1.782471245039104,TP,aggressive,ob,aggressive_sweep
2026-06-09 01:25:00+00:00,short,4320.23,2026-06-09 01:25:00+00:00,4324.27,4324.27,4318.4,-2.8054061936523333,SL,aggressive,fvg,aggressive_sweep
2026-06-11 15:55:00+00:00,short,4093.2,2026-06-11 15:55:00+00:00,4090.6,4097.5,4090.6,1.9055995309292797,TP,aggressive,ob,aggressive_sweep
2026-06-20 15:00:00+00:00,short,4156.41,2026-06-20 15:15:00+00:00,4158.71,4158.71,4155.02,-1.6600864688518566,SL,aggressive,ob,aggressive_sweep
2026-06-22 00:25:00+00:00,short,4161.61,2026-06-22 00:25:00+00:00,4162.29,4162.29,4160.87,-0.49019490053149456,SL,aggressive,ob,aggressive_sweep
2026-06-28 22:05:00+00:00,long,4071.76,2026-06-28 22:05:00+00:00,4074.99,4067.29,4074.99,2.3798062754186615,TP,aggressive,ob,aggressive_sweep
2026-06-28 22:10:00+00:00,long,4071.81,2026-06-28 22:10:00+00:00,4068.89,4068.89,4074.99,-2.151377397275467,SL,aggressive,ob,aggressive_sweep
2026-06-29 03:25:00+00:00,short,4070.6,2026-06-29 04:00:00+00:00,4062.65,4072.3,4062.65,5.859087112464859,TP,aggressive,fvg,aggressive_sweep
