trades,wins,losses,wr,pf,net,net_pct,max_dd_pct,avg_w,avg_l,sl_hits,tp_hits,symbol
16,6,10,37.5,0.43170996187715643,-119.24436592445636,-1.1924436592445635,-1.2478477466237017,15.097625394876653,-20.98301182937173,10,6,EURUSD
26,15,11,57.692307692307686,1.1141217844079343,19.985127945414206,0.19985127945414205,-0.7957502557388579,13.007079249404946,-15.920096435969345,11,15,GBPUSD
29,16,13,55.172413793103445,1.0269992892278348,7.759603493022951,0.07759603493022951,-1.4476346399921567,18.447493202445294,-22.10771444200805,13,16,USDJPY
21,7,14,33.33333333333333,0.6088272281365642,-99.91601272822118,-0.9991601272822118,-1.1982881543694748,22.21582798165669,-18.24477204284425,14,7,AUDUSD
19,6,13,31.57894736842105,0.42284993647871777,-66.97841914460514,-0.6697841914460514,-0.8019158332228653,8.17864135944893,-8.926943638561657,13,6,USDCAD
