entry_time,direction,entry_price,exit_time,exit_price,sl_price,tp_price,pnl,exit_hit,mode,poi_kind,step4
2025-08-13 17:45:00+00:00,long,3354.248,2025-08-13 17:55:00+00:00,3352.745,3352.745,3355.155,-1.3442655402941195,SL,aggressive,ob,aggressive_sweep
2025-08-25 22:20:00+00:00,long,3364.605,2025-08-25 22:35:00+00:00,3363.705,3363.705,3365.565,-0.8024716125667866,SL,aggressive,ob,aggressive_sweep
2025-08-25 22:45:00+00:00,long,3364.325,2025-08-25 23:00:00+00:00,3363.305,3363.305,3367.005,-0.9095435191308645,SL,aggressive,ob,aggressive_sweep
2025-08-26 10:50:00+00:00,long,3369.715,2025-08-26 10:50:00+00:00,3370.855,3368.4449999999997,3370.855,1.0149226269876288,TP,aggressive,ob,aggressive_sweep
2025-09-01 23:05:00+00:00,long,3476.798,2025-09-01 23:20:00+00:00,3478.785,3473.578,3478.785,1.7145085794458697,TP,aggressive,fvg,aggressive_sweep
2025-09-03 23:20:00+00:00,long,3558.885,2025-09-04 00:05:00+00:00,3554.375,3554.375,3561.099,-3.8017525151840124,SL,aggressive,ob,aggressive_sweep
2025-09-04 00:10:00+00:00,long,3554.535,2025-09-04 00:50:00+00:00,3560.985,3551.2549999999997,3560.985,5.443750026374988,TP,aggressive,ob,aggressive_sweep
2025-09-05 07:45:00+00:00,long,3549.685,2025-09-05 07:55:00+00:00,3547.1949999999997,3547.1949999999997,3550.879,-2.104412081635613,SL,aggressive,fvg,aggressive_sweep
2025-09-05 08:00:00+00:00,long,3547.895,2025-09-05 08:15:00+00:00,3546.145,3546.145,3549.385,-1.4797506690586955,SL,aggressive,fvg,aggressive_sweep
2025-09-05 08:25:00+00:00,long,3547.695,2025-09-05 08:30:00+00:00,3549.385,3545.335,3549.385,1.4290969206767108,TP,aggressive,fvg,aggressive_sweep
2025-09-05 09:00:00+00:00,long,3545.785,2025-09-05 09:00:00+00:00,3546.398,3544.305,3546.398,0.518643967415072,TP,aggressive,fvg,aggressive_sweep
2025-09-09 14:45:00+00:00,long,3646.145,2025-09-09 15:00:00+00:00,3640.585,3640.585,3650.678,-4.574694643246453,SL,aggressive,ob,aggressive_sweep
