entry_time,direction,entry_price,exit_time,exit_price,sl_price,tp_price,pnl,exit_hit
2025-09-02 16:25:00+00:00,short,110490.6,2025-09-03 14:40:00+00:00,112281.09,112281.09,108666.66,-48.614723786457596,SL
2025-09-21 12:15:00+00:00,long,115745.34,2025-09-21 16:45:00+00:00,115263.0,115263.0,117900.0,-12.501756010220278,SL
2025-09-29 16:55:00+00:00,short,113626.15,2025-10-01 08:40:00+00:00,115580.0175,115580.0175,108620.07,-51.58673861606701,SL
2025-10-10 23:35:00+00:00,long,114333.34,2025-10-10 23:50:00+00:00,113014.96,113014.96,126199.63,-34.59305920740154,SL
2025-10-13 13:30:00+00:00,long,115135.7,2025-10-16 16:15:00+00:00,108049.9075,108049.9075,126199.63,-184.6288987690177,SL
2025-10-24 09:05:00+00:00,long,111234.36,2025-10-26 13:40:00+00:00,114000.0,105000.0,114000.0,74.58954229610345,TP
2025-10-26 13:40:00+00:00,long,113846.36,2025-10-26 22:00:00+00:00,114000.0,108500.0175,114000.0,4.04861429034708,TP
2025-10-29 20:50:00+00:00,long,111518.83,2025-10-30 04:25:00+00:00,109100.0175,109100.0175,116400.0,-65.06916813958684,SL
2025-11-10 08:30:00+00:00,short,106050.0,2025-11-13 18:25:00+00:00,98944.36,108173.5975,98944.36,201.00820367751058,TP
2025-11-24 04:15:00+00:00,short,86779.97,2026-01-31 16:15:00+00:00,80600.0,100775.0,80600.0,213.64273345565806,TP
2026-02-08 16:40:00+00:00,short,70784.36,2026-06-05 15:40:00+00:00,60000.0,83418.74250000001,60000.0,457.06537432845334,TP
2026-06-08 12:00:00+00:00,short,62866.91,2026-06-24 17:45:00+00:00,59130.91,73432.72750000001,59130.91,178.28138841244146,TP
2026-07-02 00:15:00+00:00,short,59764.0,2026-07-03 20:35:00+00:00,62704.7625,62704.7625,58115.01,-147.61875878455243,SL
2026-07-09 09:40:00+00:00,short,62804.0,2026-07-10 01:45:00+00:00,63502.72,63502.72,61306.84,-33.376218075281884,SL
2026-07-18 06:15:00+00:00,long,63999.98,2026-07-20 15:50:00+00:00,65600.0,62380.13,65600.0,75.00096093780014,TP
2026-07-20 17:50:00+00:00,long,65579.13,2026-07-20 17:55:00+00:00,65600.0,63303.17,65600.0,0.9547244679822076,TP
2026-07-24 06:15:00+00:00,long,65491.68,2026-07-27 23:00:00+00:00,63642.2075,63642.2075,66956.15,-84.7194254293066,SL
2026-07-30 14:15:00+00:00,short,64650.01,2026-07-31 01:05:00+00:00,65243.387500000004,65243.387500000004,63739.75,-27.534914534429415,SL
2026-08-04 10:10:00+00:00,short,63510.86,2026-08-05 19:00:00+00:00,64877.200000000004,64877.200000000004,62275.0,-64.54045812007602,SL
