symbol,timeframe,trades,wins,wr,pf,net,net_pct,final_capital,max_dd_pct
XAUUSD,1m,52,4,7.6923076923076925,0.10182021252914907,-152.16380519433005,-1.5216380519433006,9847.83619480567,-1.546971311195448
XAUUSD,5m,5,1,20.0,0.4363310595802317,-10.739990705456876,-0.10739990705456876,9989.260009294543,-0.10739990705456876
PAXGUSDT,1m,512,35,6.8359375,0.050236878127036526,-1440.7500658139925,-14.407500658139924,8559.249934186008,-14.465747776184982
PAXGUSDT,5m,48,4,8.333333333333332,0.04372688254195518,-212.04800199908277,-2.120480019990828,9787.951998000917,-2.120480019990828
