entry_time,direction,entry_price,exit_time,exit_price,sl_price,tp_price,pnl,exit_hit,mode,poi_kind,step4
2025-10-03 06:10:00+00:00,short,3862.13,2025-10-03 06:10:00+00:00,3863.5800000000004,3863.5800000000004,3859.55,-1.126321485812445,SL,conservative,fvg,conservative_ms_retest
2025-10-03 06:55:00+00:00,short,3862.07,2025-10-03 07:20:00+00:00,3864.84,3864.84,3859.31,-2.1516958522243113,SL,conservative,fvg,conservative_ms_retest
2025-10-15 10:20:00+00:00,long,4219.55,2025-10-15 22:35:00+00:00,4240.29,4187.7,4240.29,14.745648232631286,TP,conservative,fvg,conservative_ms_retest
2025-11-21 10:10:00+00:00,short,4033.81,2025-11-21 10:40:00+00:00,4041.9900000000002,4041.9900000000002,4023.16,-6.083578552287013,SL,conservative,fvg,conservative_ms_retest
2025-12-02 15:15:00+00:00,short,4209.65,2025-12-02 15:30:00+00:00,4188.01,4232.81,4188.01,15.421709643319103,TP,conservative,fvg,conservative_ms_retest
2025-12-22 13:05:00+00:00,long,4432.79,2025-12-22 13:05:00+00:00,4436.06,4424.69,4436.06,2.213053178698136,TP,conservative,fvg,conservative_ms_retest
2025-12-28 21:45:00+00:00,short,4558.16,2025-12-28 22:10:00+00:00,4555.32,4561.650000000001,4555.32,1.8691752812539353,TP,conservative,fvg,conservative_ms_retest
2026-01-09 13:10:00+00:00,long,4478.08,2026-01-09 13:10:00+00:00,4477.7,4477.7,4478.78,-0.2545733885951853,SL,conservative,fvg,conservative_ms_retest
2026-01-09 13:45:00+00:00,long,4492.75,2026-01-09 15:15:00+00:00,4505.36,4470.23,4505.36,8.420232596961554,TP,conservative,ob,conservative_ms_retest
2026-01-25 01:40:00+00:00,long,5082.55,2026-01-25 01:50:00+00:00,5072.38,5072.38,5091.02,-6.002892248969556,SL,conservative,fvg,conservative_ms_retest
2026-03-18 18:15:00+00:00,short,4879.43,2026-03-18 18:55:00+00:00,4853.0,4891.26,4853.0,16.2498488552968,TP,conservative,ob,conservative_ms_retest
2026-04-28 22:15:00+00:00,short,4592.2,2026-04-28 22:15:00+00:00,4591.02,4594.9400000000005,4591.02,0.7708723487648937,TP,conservative,ob,conservative_ms_retest
2026-05-01 21:50:00+00:00,long,4607.6,2026-05-01 23:25:00+00:00,4603.97,4603.97,4613.97,-2.363486413751265,SL,conservative,fvg,conservative_ms_retest
2026-06-29 04:25:00+00:00,short,4061.08,2026-06-29 04:35:00+00:00,4056.21,4070.9,4056.21,3.5975651797058106,TP,conservative,fvg,conservative_ms_retest
2026-07-02 18:15:00+00:00,long,4115.82,2026-07-02 23:30:00+00:00,4126.79,4105.19,4126.79,7.995976500430234,TP,conservative,fvg,conservative_ms_retest
2026-07-14 21:45:00+00:00,long,4054.74,2026-07-14 22:00:00+00:00,4049.6899999999996,4049.6899999999996,4058.34,-3.7363678065672636,SL,conservative,fvg,conservative_ms_retest
2026-07-14 23:35:00+00:00,long,4049.69,2026-07-15 00:25:00+00:00,4052.35,4043.06,4052.35,1.9705212003880699,TP,conservative,fvg,conservative_ms_retest
2026-07-23 04:50:00+00:00,long,4116.49,2026-07-23 05:45:00+00:00,4124.21,4107.66,4124.21,5.626152377389661,TP,conservative,ob,conservative_ms_retest
2026-08-02 12:50:00+00:00,long,4060.16,2026-08-02 14:10:00+00:00,4059.3399999999997,4059.3399999999997,4060.57,-0.6058874527113443,SL,conservative,fvg,conservative_ms_retest
2026-08-04 05:20:00+00:00,short,4058.33,2026-08-04 05:30:00+00:00,4062.0,4062.0,4056.78,-2.7129385732555553,SL,conservative,ob,conservative_ms_retest
2026-08-06 06:00:00+00:00,long,4262.23,2026-08-06 09:00:00+00:00,4274.99,4242.61,4274.99,8.981214059307137,TP,conservative,ob,conservative_ms_retest
