entry_time,direction,entry_price,exit_time,exit_price,sl_price,tp_price,pnl,exit_hit
2025-09-05 17:05:00+00:00,long,147.231,2025-09-07 21:05:00+00:00,148.183,146.7055,148.183,19.398088717729248,TP
2025-09-07 22:10:00+00:00,long,148.223,2025-09-09 05:35:00+00:00,146.94375,146.94375,149.136,-25.891730703062656,SL
2025-09-16 00:05:00+00:00,long,147.412,2025-09-16 07:15:00+00:00,146.7045,146.7045,148.179,-14.398420752720474,SL
2025-09-22 20:15:00+00:00,long,147.774,2025-09-24 08:30:00+00:00,148.179,146.1555,148.179,8.222014698120125,TP
2025-10-17 10:50:00+00:00,long,149.925,2025-10-30 06:40:00+00:00,153.272,148.25824999999998,153.272,66.97348674337128,TP
2025-11-04 00:00:00+00:00,long,154.307,2025-11-04 01:25:00+00:00,154.444,152.26375000000002,154.444,2.663521421581661,TP
2025-11-11 08:15:00+00:00,long,154.302,2025-11-12 04:10:00+00:00,154.444,153.22375,154.444,2.7608196912547327,TP
2025-11-17 00:30:00+00:00,long,154.591,2025-11-17 15:00:00+00:00,155.044,153.37375,155.044,8.790938670427185,TP
2025-11-25 00:30:00+00:00,long,156.957,2025-12-01 13:40:00+00:00,154.68425000000002,154.68425000000002,157.892,-43.4402415948312,SL
2025-12-09 22:00:00+00:00,short,156.754,2025-12-16 12:50:00+00:00,154.662,157.0845,154.662,40.03725582760219,TP
2025-12-16 13:55:00+00:00,short,154.714,2025-12-16 14:00:00+00:00,154.662,156.38025,154.662,1.0083121113795617,TP
2025-12-24 08:00:00+00:00,long,155.894,2026-01-09 13:30:00+00:00,157.778,155.441,157.778,36.255404313186894,TP
2026-01-16 17:40:00+00:00,long,158.102,2026-01-23 17:15:00+00:00,156.95000000000002,156.95000000000002,159.452,-21.859306017633934,SL
2026-02-02 20:05:00+00:00,short,155.608,2026-02-08 23:05:00+00:00,157.6125,157.6125,152.094,-38.64518533751492,SL
2026-02-11 13:25:00+00:00,short,153.493,2026-02-24 08:20:00+00:00,156.2685,156.2685,152.094,-54.24677346849682,SL
2026-02-25 16:55:00+00:00,short,156.301,2026-03-02 00:00:00+00:00,156.744,156.744,153.996,-8.502824678025325,SL
2026-03-19 15:20:00+00:00,long,158.469,2026-03-19 17:20:00+00:00,157.89124999999999,157.89124999999999,159.749,-10.93747042008233,SL
2026-04-01 13:55:00+00:00,long,158.628,2026-04-08 06:30:00+00:00,158.069,158.069,160.46,-10.57190407746421,SL
2026-04-10 09:15:00+00:00,short,159.22,2026-04-16 03:05:00+00:00,158.271,159.91275000000002,158.271,17.880919482477307,TP
2026-04-16 11:05:00+00:00,short,158.913,2026-04-17 04:55:00+00:00,159.46275,159.46275,158.271,-10.378320212946496,SL
2026-04-22 00:05:00+00:00,short,159.266,2026-04-22 00:15:00+00:00,159.29250000000002,159.29250000000002,157.59,-0.499164919066726,SL
2026-05-05 20:05:00+00:00,short,157.841,2026-05-06 04:45:00+00:00,155.486,158.7665,155.486,44.76023339943395,TP
2026-05-08 12:30:00+00:00,short,156.558,2026-05-12 00:40:00+00:00,157.31900000000002,157.31900000000002,155.486,-14.58245506457717,SL
2026-05-26 00:10:00+00:00,long,158.964,2026-05-26 15:20:00+00:00,159.35,158.77700000000002,159.35,7.284668226768243,TP
2026-06-01 13:00:00+00:00,long,159.515,2026-06-01 13:10:00+00:00,159.651,158.85225000000003,159.651,2.5577531893556866,TP
2026-06-16 04:10:00+00:00,long,160.288,2026-06-17 19:10:00+00:00,160.594,159.82074999999998,160.594,5.7271910560987065,TP
2026-06-25 04:55:00+00:00,long,161.763,2026-06-25 11:35:00+00:00,161.926,160.15375,161.926,3.0229409691953504,TP
2026-07-03 16:15:00+00:00,long,161.344,2026-07-21 13:45:00+00:00,162.84,160.38225,162.84,27.816342721142576,TP
2026-07-28 07:45:00+00:00,long,163.784,2026-07-30 13:35:00+00:00,161.958,161.958,163.989,-33.44649049968239,SL
