entry_time,direction,entry_price,exit_time,exit_price,sl_price,tp_price,pnl,exit_hit
2025-09-18 07:45:00+00:00,long,3659.535,2025-09-19 15:20:00+00:00,3673.645,3627.01,3673.645,11.567043353868835,TP
2025-09-22 05:30:00+00:00,long,3698.485,2025-09-22 06:30:00+00:00,3707.308,3635.4257500000003,3707.308,7.156714168098451,TP
2025-09-26 00:55:00+00:00,long,3749.385,2025-09-29 02:15:00+00:00,3790.865,3656.315,3790.865,33.18944306866291,TP
2025-10-23 09:15:00+00:00,long,4122.785,2025-12-22 01:40:00+00:00,4381.298,3803.92325,4381.298,188.11046416439368,TP
2025-12-29 16:50:00+00:00,long,4345.235,2025-12-30 01:50:00+00:00,4353.325,4215.715,4353.325,5.585428636195841,TP
2025-12-31 09:40:00+00:00,long,4335.885,2026-01-12 00:05:00+00:00,4549.715,4264.8125,4549.715,147.94903462614892,TP
2026-02-03 01:15:00+00:00,long,4839.048,2026-02-03 02:10:00+00:00,4801.587500000001,4801.587500000001,5596.805,-23.223886185877408,SL
2026-02-09 05:30:00+00:00,long,5031.415,2026-02-11 10:40:00+00:00,5091.395,4675.235000000001,5091.395,35.763299191182085,TP
2026-02-17 10:10:00+00:00,long,4936.035,2026-02-17 10:25:00+00:00,4930.79,4930.79,5091.395,-3.1877812859916252,SL
2026-03-03 18:50:00+00:00,long,5136.515,2026-03-15 23:20:00+00:00,4970.335,4970.335,5249.575,-97.05802475024424,SL
2026-04-01 02:35:00+00:00,short,4680.125,2026-06-10 18:50:00+00:00,4098.275,4953.3425,4098.275,372.9708074036486,TP
2026-06-15 11:45:00+00:00,short,4333.535,2026-06-24 12:25:00+00:00,4023.585,4441.0650000000005,4023.585,214.57078343661686,TP
2026-06-25 19:45:00+00:00,short,4026.328,2026-06-25 19:50:00+00:00,4023.585,4292.49,4023.585,2.043797723384636,TP
2026-06-29 04:35:00+00:00,short,4054.675,2026-06-30 01:05:00+00:00,3958.695,4276.2675,3958.695,71.01432297286466,TP
2026-07-09 00:50:00+00:00,short,4070.455,2026-07-22 13:30:00+00:00,4141.8525,4141.8525,3958.695,-52.621267155637426,SL
2026-07-22 17:35:00+00:00,short,4138.815,2026-07-22 17:45:00+00:00,4142.05,4142.05,3959.485,-2.344874076275878,SL
2026-08-04 00:55:00+00:00,short,4048.945,2026-08-04 11:50:00+00:00,4079.99125,4079.99125,3959.485,-23.003214417582754,SL
