interval,sl_buffer_pts,tp,capital,total_trades,wins,losses,flats,win_rate,expectancy_R,profit_factor,max_drawdown,total_return,final_equity,net_pnl,long_trades,short_trades,tp_exits,stop_exits
1h,5.0,anchor,10000.0,17,9,8,0,0.5294117647058824,0.19241894237189197,1.5962122197400221,-0.030634906797045093,0.03150411656097618,10315.041165609762,315.0411656097622,8,9,7,4
1h,5.0,3R,10000.0,14,6,8,0,0.42857142857142855,0.035578281017656956,1.0832566645364619,-0.030634906797045156,0.004320801817940589,10043.208018179406,43.20801817940628,8,6,4,4
1h,5.0,5R,10000.0,14,6,8,0,0.42857142857142855,0.26596074163599653,1.6841045941932888,-0.03063490679704509,0.036395050829769016,10363.95050829769,363.95050829769025,8,6,3,4
4h,2.0,anchor,10000.0,12,4,8,0,0.3333333333333333,0.2633569119437998,1.5848627105241593,-0.025940431325166127,0.030241825643233522,10302.418256432335,302.4182564323346,6,6,3,6
4h,2.0,3R,10000.0,12,4,8,0,0.3333333333333333,-0.029247331736937183,0.9180409640294037,-0.025940431325165967,-0.004148480603505367,9958.515193964946,-41.484806035054135,6,6,3,6
4h,2.0,5R,10000.0,12,4,8,0,0.3333333333333333,0.21165950914975165,1.470365064457315,-0.025940431325166283,0.02427034072681855,10242.703407268185,242.7034072681854,6,6,3,6
4h,3.0,anchor,10000.0,11,4,7,0,0.36363636363636365,0.3280641288228631,1.7486878551965908,-0.025915183096349034,0.034922759752426646,10349.227597524266,349.22759752426646,6,5,3,5
4h,3.0,3R,10000.0,11,4,7,0,0.36363636363636365,0.03063372673035867,1.0597836433613257,-0.02591518309634909,0.0027310923635792683,10027.310923635792,27.310923635792278,6,5,3,5
4h,3.0,5R,10000.0,11,4,7,0,0.36363636363636365,0.303765527850808,1.6962702564976817,-0.025915183096349225,0.032497818642195586,10324.978186421955,324.9781864219549,6,5,3,5
4h,4.0,anchor,10000.0,11,4,7,0,0.36363636363636365,0.31417694125861556,1.70363642400442,-0.02589014403350274,0.033373280750178536,10333.732807501785,333.7328075017849,6,5,3,5
4h,4.0,3R,10000.0,11,4,7,0,0.36363636363636365,0.03836855453711984,1.0766690014379998,-0.02589014403350278,0.0035697451543934555,10035.697451543934,35.69745154393422,6,5,3,5
4h,4.0,5R,10000.0,11,4,7,0,0.36363636363636365,0.3218235290200708,1.724844149582211,-0.02589014403350277,0.034512508007694676,10345.125080076947,345.1250800769467,6,5,3,5
4h,5.0,anchor,10000.0,10,4,6,0,0.4,0.3992641298560806,1.9391708132576553,-0.025865311548136746,0.038987868510685475,10389.878685106854,389.8786851068544,6,4,3,4
4h,5.0,3R,10000.0,10,4,6,0,0.4,0.11949762709591646,1.278876498738392,-0.0258653115481366,0.01136399452759873,10113.639945275987,113.63994527598697,6,4,3,4
4h,5.0,5R,10000.0,10,4,6,0,0.4,0.4216983570014139,1.9963101257111773,-0.025865311548136656,0.04154438143717032,10415.443814371703,415.4438143717034,6,4,2,4
