entry_time,direction,exit_time,pnl,legs,exit_hit
2025-08-20 10:15:00+00:00,long,2025-08-20 10:15:00+00:00,0.006013816743929615,remainder,next_resistance
2025-08-21 17:15:00+00:00,short,2025-08-21 17:15:00+00:00,0.0673470617424877,"partial,remainder",partial_10pip|sl
2025-08-25 18:25:00+00:00,short,2025-08-25 18:25:00+00:00,-0.016310358183186328,remainder,ema21_close
2025-08-28 07:40:00+00:00,long,2025-08-28 07:40:00+00:00,0.0662960835846282,"partial,remainder",partial_10pip|sl
2025-08-28 12:35:00+00:00,long,2025-08-28 12:35:00+00:00,-0.1762666884440602,remainder,ema21_close
2025-08-29 17:40:00+00:00,long,2025-08-29 17:40:00+00:00,-0.026118122363839223,remainder,sl
2025-09-01 14:00:00+00:00,long,2025-09-01 14:00:00+00:00,0.06474461547588488,"partial,remainder",partial_10pip|sl
2025-09-01 14:10:00+00:00,long,2025-09-01 14:10:00+00:00,0.06473758321139199,"partial,remainder",partial_10pip|sl
2025-09-17 15:50:00+00:00,long,2025-09-17 15:50:00+00:00,-0.06106867884410809,remainder,sl
2025-09-19 16:15:00+00:00,long,2025-09-19 16:15:00+00:00,0.06133048058464363,"partial,remainder",partial_10pip|sl
2025-09-22 11:35:00+00:00,long,2025-09-22 11:35:00+00:00,-0.045625505601458526,remainder,sl
2025-09-25 19:25:00+00:00,long,2025-09-25 19:25:00+00:00,0.05997771877032064,"partial,remainder",partial_10pip|sl
2025-10-03 16:25:00+00:00,long,2025-10-03 16:25:00+00:00,-0.08799281729862889,remainder,ema21_close
2025-10-08 09:00:00+00:00,long,2025-10-08 09:00:00+00:00,0.05574489195170008,"partial,remainder",partial_10pip|sl
2025-10-15 09:00:00+00:00,long,2025-10-15 09:00:00+00:00,0.05347058313085612,"partial,remainder",partial_10pip|sl
2025-10-28 12:30:00+00:00,long,2025-10-28 12:30:00+00:00,0.05737613334477264,"partial,remainder",partial_10pip|sl
2025-11-05 09:10:00+00:00,long,2025-11-05 09:10:00+00:00,-0.02262342292780897,remainder,sl
