label,symbol,interval,total_trades,wins,losses,win_rate,profit_factor,max_drawdown,total_return,final_equity,net_pnl
ORIGINAL,BTCUSDT,15m,1260,406,854,0.32222222222222224,0.3846077670135242,-0.9708359678769635,-0.9708359678769636,291.6403212303644,-9708.359678769635
ORIGINAL,BTCUSDT,30m,638,226,412,0.3542319749216301,0.576931375770577,-0.7973736615161124,-0.7940497367431183,2059.5026325688177,-7940.497367431182
ORIGINAL,PAXGUSDT,15m,1375,279,1096,0.2029090909090909,0.11199410577238171,-0.9843880362138631,-0.984388036213863,156.11963786137005,-9843.88036213863
ORIGINAL,PAXGUSDT,30m,642,178,464,0.2772585669781931,0.30516857743716297,-0.8253783067791052,-0.823005426225627,1769.9457377437293,-8230.054262256272
OPT_BTC_30M,BTCUSDT,30m,39,20,19,0.5128205128205128,1.3592288771485257,-0.03873726122245116,0.06318969401042529,10631.896940104252,631.8969401042523
OPT_on_15m,BTCUSDT,15m,104,41,63,0.3942307692307692,0.7293120247488194,-0.24023496322313512,-0.14671700638710006,8532.829936129,-1467.1700638710008
OPT_PAXG_1H,PAXGUSDT,1h,19,11,8,0.5789473684210527,1.737196678878445,-0.019066071581074345,0.0417589005800747,10417.589005800748,417.58900580074805
OPT_PAXG_1H_trail,PAXGUSDT,1h,20,14,6,0.7,2.0792175494119127,-0.021789015816116506,0.05321513144389112,10532.151314438912,532.1513144389119
