entry_time,direction,entry_price,exit_time,exit_price,sl_price,tp_price,pnl,exit_hit
2025-09-22 07:25:00+00:00,long,1.17537,2025-09-25 12:30:00+00:00,1.1723825,1.1723825,1.19186,-7.625258429260371,SL
2025-09-30 12:40:00+00:00,short,1.1735,2025-10-01 07:00:00+00:00,1.1776275,1.1776275,1.16454,-10.551768214742381,SL
2025-10-03 20:55:00+00:00,short,1.17382,2025-10-08 00:20:00+00:00,1.16454,1.1745225000000001,1.16454,23.717435381915905,TP
2025-10-14 06:10:00+00:00,short,1.15814,2025-10-17 05:40:00+00:00,1.1719375,1.1719375,1.1542,-35.740497694579574,SL
2025-10-21 19:55:00+00:00,short,1.16006,2025-10-31 13:40:00+00:00,1.1542,1.1681725,1.1542,15.15438856610916,TP
2025-11-10 03:15:00+00:00,short,1.15539,2025-11-13 08:05:00+00:00,1.1618625,1.1618625,1.14687,-16.8060135538652,SL
2025-12-19 13:30:00+00:00,long,1.17158,2025-12-24 01:35:00+00:00,1.1804,1.1662175,1.1804,22.584885368476314,TP
2025-12-25 07:25:00+00:00,long,1.17797,2025-12-31 08:25:00+00:00,1.1727575,1.1727575,1.1804,-13.274956068490873,SL
2026-02-02 21:00:00+00:00,long,1.17921,2026-03-02 07:50:00+00:00,1.1703825,1.1703825,1.20822,-22.457831938331562,SL
2026-03-18 11:25:00+00:00,short,1.15321,2026-03-19 19:05:00+00:00,1.16031,1.16031,1.14108,-18.470183227685897,SL
2026-04-06 01:10:00+00:00,short,1.15081,2026-04-07 08:55:00+00:00,1.1573025,1.1573025,1.14108,-16.925035409841215,SL
2026-04-24 00:10:00+00:00,long,1.16867,2026-05-20 08:10:00+00:00,1.1590875,1.1590875,1.18491,-24.598475189745734,SL
2026-06-03 02:45:00+00:00,short,1.16265,2026-06-05 13:50:00+00:00,1.15763,1.165835,1.15763,12.953167333247386,TP
2026-06-11 04:00:00+00:00,short,1.15431,2026-06-17 19:20:00+00:00,1.14999,1.163925,1.14999,11.227486550406425,TP
2026-06-18 05:20:00+00:00,short,1.15189,2026-06-18 08:30:00+00:00,1.14999,1.159155,1.14999,4.948389169104722,TP
2026-06-29 03:55:00+00:00,short,1.13831,2026-08-02 21:45:00+00:00,1.15477,1.15477,1.13245,-43.380098567174514,SL
