symbol,timeframe,partial_pips,trades,wins,wr,pf,net,net_pct,final_capital,max_dd_pct,partial_legs,partial_hit_rate,fees
XAUUSD,1m,10,428,226,52.80373831775701,1.3339521324886594,2.8810447180021583,0.028810447180021584,10002.881044718002,-0.00574177251142828,187,30.40650406504065,0.0
XAUUSD,1m,15,426,194,45.539906103286384,1.353569243312733,3.51551987289713,0.0351551987289713,10003.515519872897,-0.005776997424982256,120,21.978021978021978,0.0
XAUUSD,1m,20,426,173,40.61032863849765,1.289689097131756,3.1731279375562735,0.031731279375562735,10003.173127937556,-0.007783346401993185,81,15.976331360946746,0.0
XAUUSD,1m,25,425,167,39.294117647058826,1.2800423710970201,3.1660197456567403,0.0316601974565674,10003.166019745657,-0.014479017641169776,60,12.371134020618557,0.0
XAUUSD,1m,30,425,163,38.35294117647059,1.160958758800728,1.8485470980613172,0.018485470980613174,10001.848547098061,-0.013664931961138792,40,8.60215053763441,0.0
XAUUSD,1m,40,425,159,37.411764705882355,1.0499241223653573,0.5832457356209488,0.005832457356209488,10000.583245735621,-0.016644801221918897,17,3.8461538461538463,0.0
XAUUSD,1m,50,425,158,37.1764705882353,1.0092824680194075,0.10910874833280104,0.0010910874833280106,10000.109108748333,-0.0230502897776023,12,2.745995423340961,0.0
XAUUSD,1m,75,425,156,36.705882352941174,0.8752909031142304,-1.5037744380369986,-0.015037744380369986,9998.496225561963,-0.02610325989435296,2,0.468384074941452,0.0
XAUUSD,1m,100,425,155,36.470588235294116,0.8483725077777895,-1.83267695395989,-0.0183267695395989,9998.16732304604,-0.02939225646190607,1,0.2347417840375587,0.0
XAUUSD,1m,150,425,155,36.470588235294116,0.8693967692648256,-1.5785833833415381,-0.01578583383341538,9998.421416616658,-0.027664642020699827,1,0.2347417840375587,0.0
XAUUSD,1m,200,425,155,36.470588235294116,0.8065326026890849,-2.3383231594707468,-0.023383231594707468,9997.66167684053,-0.034448674560826474,0,0.0,0.0
XAUUSD,5m,10,60,47,78.33333333333333,2.2816272613942847,1.3653681164178124,0.013653681164178125,10001.365368116418,-0.002569227501953719,45,42.857142857142854,0.0
XAUUSD,5m,15,60,37,61.66666666666667,1.7308496378659353,1.2754196513251372,0.012754196513251374,10001.275419651325,-0.0046380284229053355,33,35.483870967741936,0.0
XAUUSD,5m,20,60,28,46.666666666666664,1.2868491999008984,0.6452998184668104,0.006452998184668104,10000.645299818467,-0.005314982703948772,23,27.710843373493976,0.0
XAUUSD,5m,25,60,27,45.0,2.1021866475403725,2.5704653305274405,0.025704653305274407,10002.570465330527,-0.004755859945817065,22,26.82926829268293,0.0
XAUUSD,5m,30,60,25,41.66666666666667,2.365645930912538,3.2973581159149035,0.032973581159149036,10003.297358115915,-0.004756246783763345,19,24.050632911392405,0.0
XAUUSD,5m,40,60,22,36.666666666666664,2.1577443433222574,3.048164510570132,0.03048164510570132,10003.04816451057,-0.005583116854431865,12,16.666666666666664,0.0
XAUUSD,5m,50,60,21,35.0,2.206825169548178,3.3097535819742916,0.03309753581974292,10003.309753581974,-0.00822273845124073,9,13.043478260869565,0.0
XAUUSD,5m,75,60,21,35.0,2.1859310251486286,3.2523721247962385,0.032523721247962385,10003.252372124796,-0.00603428506767159,5,7.6923076923076925,0.0
XAUUSD,5m,100,60,19,31.666666666666664,1.8052639496331477,2.2938526035068207,0.022938526035068206,10002.293852603507,-0.008562635325488373,2,3.225806451612903,0.0
XAUUSD,5m,150,60,19,31.666666666666664,1.6959578665716515,1.9825143894777284,0.019825143894777283,10001.982514389478,-0.008562895434788515,1,1.639344262295082,0.0
XAUUSD,5m,200,60,19,31.666666666666664,1.3770797900525864,1.0740821360959671,0.010740821360959671,10001.074082136096,-0.008562117707933794,0,0.0,0.0
