entry_time,direction,entry_price,exit_time,exit_price,sl_price,tp_price,pnl,exit_hit
2025-09-04 12:10:00+00:00,short,1.3813,2025-09-11 05:05:00+00:00,1.387315,1.387315,1.372,-13.06378049663383,SL
2025-10-07 16:40:00+00:00,long,1.39552,2025-10-09 14:10:00+00:00,1.39859,1.3918400000000002,1.39859,6.599690437972739,TP
2025-10-17 01:50:00+00:00,long,1.40483,2025-10-28 14:20:00+00:00,1.396835,1.396835,1.40795,-17.073240178526884,SL
2025-10-30 23:45:00+00:00,short,1.39817,2025-10-31 10:45:00+00:00,1.40117,1.40117,1.39313,-6.436985488174071,SL
2025-11-10 10:25:00+00:00,long,1.40166,2025-11-28 15:50:00+00:00,1.3950550000000002,1.3950550000000002,1.414,-14.136809211933885,SL
2025-12-01 22:00:00+00:00,short,1.39921,2025-12-02 14:55:00+00:00,1.39846,1.410115,1.39846,1.6080502569307575,TP
2025-12-03 07:00:00+00:00,short,1.39645,2025-12-04 15:25:00+00:00,1.39377,1.4089425,1.39377,5.757456407318592,TP
2025-12-19 12:40:00+00:00,short,1.37894,2025-12-23 08:05:00+00:00,1.37298,1.3836075,1.37298,12.966481500282748,TP
2025-12-31 00:10:00+00:00,short,1.36931,2026-01-05 03:25:00+00:00,1.376455,1.376455,1.3642,-15.653869467103776,SL
2026-01-16 08:25:00+00:00,long,1.38956,2026-01-16 15:40:00+00:00,1.39195,1.3870675000000001,1.39195,5.15990673306683,TP
2026-02-10 00:35:00+00:00,long,1.3566,2026-02-10 14:30:00+00:00,1.3536375,1.3536375,1.37022,-6.551304732419237,SL
2026-03-04 14:00:00+00:00,long,1.36773,2026-03-04 19:50:00+00:00,1.364415,1.364415,1.37022,-7.27117194183053,SL
2026-03-12 23:45:00+00:00,short,1.36315,2026-03-13 07:05:00+00:00,1.3657949999999999,1.3657949999999999,1.35252,-5.821076183838432,SL
2026-04-09 18:10:00+00:00,long,1.38208,2026-04-14 12:55:00+00:00,1.3738350000000001,1.3738350000000001,1.39449,-17.896937948598854,SL
2026-04-15 20:05:00+00:00,long,1.37334,2026-04-16 02:35:00+00:00,1.3721475,1.3721475,1.38774,-2.6049630827033283,SL
2026-04-28 13:40:00+00:00,short,1.3667,2026-04-29 13:45:00+00:00,1.36933,1.36933,1.36312,-5.773029926099166,SL
2026-04-30 07:00:00+00:00,short,1.36747,2026-04-30 18:20:00+00:00,1.35973,1.3684825,1.35973,16.980262821121908,TP
2026-07-03 15:20:00+00:00,long,1.42048,2026-07-05 21:00:00+00:00,1.418835,1.418835,1.42473,-3.474177742734632,SL
2026-07-24 15:45:00+00:00,short,1.40823,2026-07-24 16:40:00+00:00,1.4083675,1.4083675,1.40026,-0.2929209007049308,SL
