entry_time,direction,entry_price,exit_time,exit_price,sl_price,tp_price,pnl,exit_hit,signal_rsi
2025-08-10 23:36:00+00:00,short,119197.93,2025-08-11 00:21:00+00:00,119311.11,119311.11,119013.3615,-2.848539399971314,SL,67.32254576058455
2025-08-12 09:15:00+00:00,long,118628.38,2025-08-12 09:24:00+00:00,118561.1,118561.1,118838.68149999999,-1.701447832297773,SL,33.245590179879855
2025-08-15 23:27:00+00:00,long,117137.03,2025-08-16 00:09:00+00:00,117448.03150000001,117036.53,117448.03150000001,7.965068774579986,TP,34.40126336169898
2025-08-17 08:45:00+00:00,short,118110.78,2025-08-17 08:48:00+00:00,118153.34,118153.34,117999.65999999999,-1.081019022988359,SL,65.98154478140822
2025-08-20 08:30:00+00:00,short,113846.0,2025-08-20 08:33:00+00:00,113866.06,113866.06,113631.39849999998,-0.5286088224442933,SL,66.3416418809388
2025-08-23 14:45:00+00:00,long,114737.51,2025-08-23 14:48:00+00:00,114712.0,114712.0,114929.2865,-0.6670007044774137,SL,34.2354572005825
2025-08-29 12:09:00+00:00,short,110215.64,2025-08-29 12:12:00+00:00,110225.7,110225.7,110047.3635,-0.27382683619124304,SL,65.84013296821954
2025-09-01 15:30:00+00:00,long,108703.15,2025-09-01 15:33:00+00:00,108681.81,108681.81,109021.29699999999,-0.5889433746859178,SL,34.489553683339636
2025-09-10 17:30:00+00:00,long,113482.01,2025-09-10 17:48:00+00:00,113746.97650000002,113427.66,113746.97650000002,7.004630073084468,TP,33.864207947981654
2025-09-11 12:15:00+00:00,short,114261.6,2025-09-11 12:30:00+00:00,114484.36,114484.36,114028.8665,-5.848684072339125,SL,70.96353870406344
2025-09-12 21:06:00+00:00,long,115938.87,2025-09-12 21:09:00+00:00,115915.97,115915.97,116175.3865,-0.5925536448645958,SL,33.804096572211506
2025-09-15 19:42:00+00:00,short,115520.01,2025-09-15 20:33:00+00:00,115251.88799999999,115570.0,115251.88799999999,6.9630014748095075,TP,67.6607294341421
2025-09-23 20:36:00+00:00,long,111468.0,2025-09-23 20:39:00+00:00,111690.99250000001,111458.73,111690.99250000001,6.0015206157823116,TP,30.748444952388226
2025-09-26 23:36:00+00:00,short,109648.11,2025-09-26 23:39:00+00:00,109657.14,109657.14,109543.55249999999,-0.24706308207224462,SL,65.09012499223306
2025-09-26 23:39:00+00:00,short,109660.5,2025-09-26 23:42:00+00:00,109674.24,109674.24,109548.9245,-0.37588739792373477,SL,66.1020697050113
2025-10-04 13:15:00+00:00,short,122391.51,2025-10-04 13:18:00+00:00,122445.87,122445.87,122112.308,-1.3324453632445727,SL,71.08036953453724
2025-10-21 22:12:00+00:00,long,110415.99,2025-10-21 22:21:00+00:00,110077.15,110077.15,110715.31849999998,-9.206275286759038,SL,34.283464716299676
2025-11-02 23:06:00+00:00,short,110207.39,2025-11-02 23:09:00+00:00,110305.0,110305.0,109888.05600000001,-2.6570813445450594,SL,67.4113545716844
2025-11-02 23:12:00+00:00,short,110328.01,2025-11-02 23:15:00+00:00,110408.0,110408.0,109915.481,-2.175059624478097,SL,71.84083210153419
2025-11-10 15:54:00+00:00,long,104914.2,2025-11-10 16:06:00+00:00,105205.42450000001,104667.0,105205.42450000001,8.327504761033621,TP,34.749856504608346
2025-11-21 08:45:00+00:00,long,83791.27,2025-11-21 08:48:00+00:00,83600.09,83600.09,84215.208,-6.844865819554025,SL,34.031963689341865
2025-11-21 14:45:00+00:00,short,84916.47,2025-11-21 14:54:00+00:00,85285.7,85285.7,84153.618,-13.044465932227137,SL,65.07991775381167
2025-11-30 18:09:00+00:00,long,91309.43,2025-11-30 18:12:00+00:00,91300.01,91300.01,91429.68500000001,-0.30949705851843307,SL,34.2112092625388
