entry_time,direction,exit_time,pnl,exit_hit
2025-08-14 20:32:00+00:00,short,2025-08-14 20:35:00+00:00,-1.3252823128897506,runner_support
2025-08-25 20:14:00+00:00,short,2025-08-25 20:14:00+00:00,-1.7917061032694668,runner_support
2025-09-02 19:50:00+00:00,long,2025-09-02 19:52:00+00:00,-6.794836909287746,init_sl
2025-09-18 09:41:00+00:00,long,2025-09-18 09:41:00+00:00,-7.1521867066556,init_sl
2025-09-18 09:43:00+00:00,long,2025-09-18 09:48:00+00:00,-2.6607636413392135,partial_tp|breakeven
2025-09-19 18:38:00+00:00,long,2025-09-19 18:47:00+00:00,-2.0678810436917696,ema21_close
2025-09-22 18:08:00+00:00,long,2025-09-22 18:08:00+00:00,-2.674750964280211,ema21_close
2025-09-24 20:31:00+00:00,long,2025-09-24 20:33:00+00:00,-2.0124581066902882,partial_tp|runner_resistance
2025-09-30 14:32:00+00:00,long,2025-09-30 14:33:00+00:00,-2.718956818858066,partial_tp|breakeven
2025-09-30 14:36:00+00:00,long,2025-09-30 14:38:00+00:00,-2.7180570447375483,partial_tp|breakeven
2025-10-01 08:52:00+00:00,long,2025-10-01 08:55:00+00:00,-0.4907686812859786,partial_tp|runner_resistance
2025-10-10 08:38:00+00:00,long,2025-10-10 08:40:00+00:00,-2.7619433482564437,partial_tp|breakeven
2025-10-10 08:42:00+00:00,long,2025-10-10 08:44:00+00:00,-0.3618961361788793,partial_tp|runner_resistance
2025-10-10 09:07:00+00:00,long,2025-10-10 09:08:00+00:00,1.7175746666501088,partial_tp|runner_resistance
2025-10-20 19:19:00+00:00,long,2025-10-20 19:19:00+00:00,-3.3929430871290673,partial_tp|runner_resistance
2025-10-20 19:26:00+00:00,long,2025-10-20 19:28:00+00:00,-2.866882103627402,partial_tp|breakeven
2025-11-06 08:00:00+00:00,long,2025-11-06 08:00:00+00:00,-2.7378219518448668,ema21_close
2025-11-10 12:48:00+00:00,long,2025-11-10 12:51:00+00:00,-0.311421061487239,partial_tp|runner_resistance
2025-11-11 09:52:00+00:00,long,2025-11-11 09:52:00+00:00,-2.9763119346102718,ema21_close
2025-11-12 15:56:00+00:00,long,2025-11-12 16:03:00+00:00,5.874789734186532,partial_tp|runner_resistance
2025-11-13 19:23:00+00:00,short,2025-11-13 19:23:00+00:00,-1.6443527663556834,ema21_close
2025-11-17 21:26:00+00:00,long,2025-11-17 21:26:00+00:00,-2.677416762116065,ema21_close
2025-11-17 21:38:00+00:00,long,2025-11-17 21:38:00+00:00,-2.8527114986715203,ema21_close
2025-11-24 19:07:00+00:00,long,2025-11-24 19:10:00+00:00,-7.00035509571002,init_sl
2025-11-24 19:12:00+00:00,long,2025-11-24 19:12:00+00:00,-4.968080744249517,init_sl
2025-12-02 21:22:00+00:00,long,2025-12-02 21:24:00+00:00,-1.6737686180486493,partial_tp|runner_resistance
2025-12-31 07:33:00+00:00,long,2025-12-31 07:36:00+00:00,-2.851545755534298,partial_tp|breakeven
2026-01-06 12:17:00+00:00,long,2026-01-06 12:19:00+00:00,-2.8836119013328596,partial_tp|breakeven
2026-01-08 21:14:00+00:00,long,2026-01-08 21:17:00+00:00,-6.3975125820633885,init_sl
2026-02-16 17:21:00+00:00,long,2026-02-16 17:29:00+00:00,-0.3920009715346522,partial_tp|runner_resistance
2026-02-25 18:30:00+00:00,short,2026-02-25 18:32:00+00:00,-2.2045710966907084,ema21_close
2026-03-11 18:45:00+00:00,long,2026-03-11 18:46:00+00:00,-5.834502348533372,init_sl
2026-03-11 18:49:00+00:00,long,2026-03-11 18:49:00+00:00,-5.289077543801045,init_sl
2026-03-16 11:41:00+00:00,long,2026-03-16 11:42:00+00:00,-7.5404165133610945,init_sl
2026-05-01 14:25:00+00:00,long,2026-05-01 14:25:00+00:00,-5.1913274732847015,init_sl
2026-05-01 14:28:00+00:00,long,2026-05-01 14:29:00+00:00,-2.9170314181700707,partial_tp|breakeven
2026-05-25 10:27:00+00:00,long,2026-05-25 10:29:00+00:00,-2.3908031481335272,ema21_close
2026-06-05 13:16:00+00:00,short,2026-06-05 13:16:00+00:00,-6.444859307552656,init_sl
2026-06-05 13:20:00+00:00,short,2026-06-05 13:21:00+00:00,-2.8583800535183057,partial_tp|breakeven
2026-06-11 19:56:00+00:00,long,2026-06-11 19:58:00+00:00,-11.791810251281149,init_sl
2026-06-11 20:23:00+00:00,long,2026-06-11 20:23:00+00:00,-2.1973925938022125,ema21_close
2026-06-11 20:27:00+00:00,long,2026-06-11 20:28:00+00:00,-2.5950740735372544,ema21_close
2026-06-24 14:30:00+00:00,long,2026-06-24 14:34:00+00:00,6.781323139794215,partial_tp|runner_resistance
2026-06-30 07:02:00+00:00,long,2026-06-30 07:02:00+00:00,-4.465372595165003,init_sl
2026-06-30 07:05:00+00:00,long,2026-06-30 07:05:00+00:00,-6.178818059444231,init_sl
2026-06-30 07:11:00+00:00,long,2026-06-30 07:11:00+00:00,-4.340115827620681,ema21_close
2026-07-01 12:00:00+00:00,long,2026-07-01 12:01:00+00:00,-2.7457049918754164,partial_tp|breakeven
2026-07-15 20:50:00+00:00,long,2026-07-15 20:51:00+00:00,-2.7540907298786834,partial_tp|breakeven
2026-07-21 18:55:00+00:00,long,2026-07-21 18:55:00+00:00,-3.3385423376861434,init_sl
2026-07-27 20:58:00+00:00,short,2026-07-27 22:00:00+00:00,-6.068041775706353,init_sl
2026-07-29 20:14:00+00:00,short,2026-07-29 20:16:00+00:00,2.876033729270463,partial_tp|runner_support
2026-08-03 19:47:00+00:00,long,2026-08-03 19:47:00+00:00,-1.1093696734587923,partial_tp|runner_resistance
