symbol,mode,trades,wins,losses,wr,pf,net,net_pct,max_dd_pct
PAXGUSDT,aggressive,149,59,90,39.59731543624161,0.9384326308456942,-11.855373364707702,-0.11855373364707703,-0.3399399873628499
PAXGUSDT,conservative,21,12,9,57.14285714285714,3.509181069387613,62.82422767997559,0.6282422767997559,-0.0608357855228678
XAUUSD,aggressive,102,44,58,43.13725490196079,0.8569706395731357,-24.26629184869671,-0.24266291848696708,-0.596094123340772
XAUUSD,conservative,4,2,2,50.0,0.13753329058419228,-19.681101899996065,-0.19681101899996067,-0.19681101899996067
