Strategy,Period,Trades,Win%,PF,Avg R,MaxDD%,Sharpe,Return%
Before (PMTS opt),IS,34,29.4,0.41,-0.32,-11.9,-2.51,-10.3
After (improved),IS,6,33.3,0.68,-0.16,-3.1,-0.47,-1.0
Before (PMTS opt),OOS,10,40.0,0.41,-0.24,-3.0,-3.13,-2.4
After (improved),OOS,3,33.3,0.40,-0.29,-1.5,-1.81,-0.9
