Strategy,Period,Trades,Win%,PF,Avg R,MaxDD%,Sharpe,Return%
High-WR Momentum 1:2,IS,47,51.1,1.34,0.21,-10.2,1.23,10.1
High-WR Momentum 1:2,OOS,7,57.1,1.73,0.39,-2.4,1.68,2.7
PMTS improved,IS,7,42.9,1.13,0.07,-3.1,0.19,0.4
PMTS improved,OOS,3,33.3,0.40,-0.29,-1.5,-1.81,-0.9
