entry_time,exit_time,direction,entry_price,exit_price,stop,take_profit,pnl,pnl_pct,return_R,exit_reason,pattern
2025-08-10 00:20:00+00:00,2025-08-11 01:05:00+00:00,long,3384.55143,3369.3344800050004,3371.0199900000002,3412.460025,-61.66930697151311,-0.006166930697151311,-0.616693069715131,stop,pin_bar
2025-08-18 16:20:00+00:00,2025-08-19 15:45:00+00:00,long,3331.7250299999996,3316.7455876050003,3318.40479,3359.1980249999997,-61.28899662927758,-0.006166930697151224,-0.6166930697151224,stop,pin_bar
2025-09-09 22:00:00+00:00,2025-09-11 09:15:00+00:00,long,3637.79799,3613.867519464286,3615.675357142857,3686.741607142857,-80.42994575572013,-0.008143121010113968,-0.8143121010113968,stop,engulfing
2025-09-19 05:10:00+00:00,2025-09-22 01:10:00+00:00,short,3661.4683500000006,3700.117777178571,3698.268642857143,3575.878392857144,-116.95155904587001,-0.011937959982765272,-1.1937959982765272,stop,engulfing
2025-10-02 06:40:00+00:00,2025-10-02 11:10:00+00:00,short,3873.6122250000003,3891.0589822125,3889.114425,3841.6389375,-59.8501201408252,-0.006183080702851305,-0.6183080702851304,stop,engulfing
2025-10-02 14:55:00+00:00,2025-10-06 14:35:00+00:00,long,3853.2156449999998,3962.150790714286,3806.152857142857,3964.132857142857,206.69261542266665,0.021486143061800154,2.1486143061800154,take_profit,engulfing
2025-10-14 06:25:00+00:00,2025-10-15 01:00:00+00:00,long,4131.56475,4184.579877678572,4106.630714285714,4186.6732142857145,100.99634604489052,0.010277954350914983,1.0277954350914984,take_profit,engulfing
2025-10-19 22:20:00+00:00,2025-10-20 00:10:00+00:00,short,4257.969950000001,4224.9355370625,4275.0103500000005,4222.824125,54.37997822119613,0.005477711762131231,0.5477711762131231,take_profit,rejection_wick
2025-10-24 06:15:00+00:00,2025-10-24 08:10:00+00:00,long,4091.1845699999994,4054.59169,4056.62,4170.44,-103.69785424105534,-0.010388610613820164,-1.0388610613820164,stop,engulfing
2025-10-29 18:40:00+00:00,2025-11-03 18:40:00+00:00,long,3959.93898,4000.748625,3912.6337857142858,4071.275535714286,68.5945712437848,0.00694404872255655,0.694404872255655,time_exit,rejection_wick
