entry_time,exit_time,direction,entry_price,exit_price,stop,take_profit,pnl,pnl_pct,return_R,exit_reason,pattern
2025-08-07 07:00:00+00:00,2025-08-11 01:10:00+00:00,long,3386.6824949999996,3366.3810174749997,3368.0650499999997,3427.302375,-75.89082833583176,-0.007589082833583176,-0.7589082833583176,stop,donchian_retest
2025-08-11 07:00:00+00:00,2025-08-16 07:00:00+00:00,short,3356.6008600000005,3335.336835,3375.0714,3316.3015000000014,40.929571831830245,0.004124256507444969,0.4124256507444969,time_exit,donchian_retest
2025-08-17 07:00:00+00:00,2025-08-18 05:15:00+00:00,long,3333.856095,3372.1554538125006,3315.52905,3373.842375,89.7121754871082,0.00900269209145441,0.9002692091454408,take_profit,donchian_retest
2025-08-18 07:00:00+00:00,2025-08-18 16:05:00+00:00,long,3348.763545,3328.6893727250003,3330.35455,3388.9286250000005,-76.30633759520813,-0.0075890828335830555,-0.7589082833583055,stop,donchian_retest
2025-08-19 14:40:00+00:00,2025-08-20 20:40:00+00:00,short,3321.45844,3341.4054677999993,3339.7355999999995,3281.581000000001,-75.94527157078005,-0.007610932841420547,-0.7610932841420547,stop,donchian_retest
2025-08-21 07:00:00+00:00,2025-08-22 14:10:00+00:00,short,3328.3449950000004,3348.3333800249998,3346.66005,3288.3848750000006,-75.36725720923128,-0.007610932841420535,-0.7610932841420535,stop,donchian_retest
2025-08-22 14:30:00+00:00,2025-08-27 14:30:00+00:00,long,3358.5984599999997,3371.703305,3325.66125,3435.066875,17.71908876482242,0.001803078321321651,0.1803078321321651,time_exit,donchian_retest
2025-08-28 08:25:00+00:00,2025-08-29 14:10:00+00:00,long,3392.945625,3431.9238046875007,3374.29375,3433.6406250000005,88.63016351198306,0.009002692091454515,0.9002692091454515,take_profit,donchian_retest
2025-09-02 16:30:00+00:00,2025-09-03 17:00:00+00:00,long,3543.941085,3584.6539014375,3524.45915,3586.4471249999997,89.42807358409402,0.009002692091454245,0.9002692091454244,take_profit,donchian_retest
2025-09-03 17:10:00+00:00,2025-09-04 01:30:00+00:00,long,3585.2717399999997,3563.7798187000003,3565.5626,3628.2734999999993,-76.06468950669597,-0.007589082833583043,-0.7589082833583043,stop,donchian_retest
2025-09-05 12:30:00+00:00,2025-09-08 13:45:00+00:00,long,3579.2887499999997,3636.1515504464287,3553.3117857142856,3637.9705357142857,131.07152966063498,0.013177196765330383,1.3177196765330383,take_profit,donchian_retest
