entry_time,exit_time,direction,entry_price,exit_price,stop,take_profit,pnl,pnl_pct,return_R,exit_reason,pattern
2025-08-19 10:00:00+00:00,2025-08-20 02:00:00+00:00,long,3338.478405,3301.79017905,3303.4419,3403.5462,-123.29589955022442,-0.012329589955022442,-1.2329589955022442,stop,hl_bos_adx
2025-08-28 11:15:00+00:00,2025-08-30 10:00:00+00:00,long,3399.47889,3464.0027322000005,3363.8022,3465.7356000000004,159.14780508155107,0.01611345277361338,1.611345277361338,take_profit,hl_bos_adx
2025-09-01 14:15:00+00:00,2025-09-03 01:00:00+00:00,long,3492.8855699999995,3559.1823186,3456.2286,3560.9628,161.71222572275687,0.01611345277361338,1.611345277361338,take_profit,hl_bos_adx
2025-09-03 08:15:00+00:00,2025-09-06 23:45:00+00:00,long,3558.63843,3626.1832014000006,3521.2914,3627.9972000000002,164.31796803485622,0.01611345277361336,1.611345277361336,take_profit,hl_bos_adx
2025-09-08 13:45:00+00:00,2025-09-13 13:45:00+00:00,long,3640.49934,3630.9536150000004,3602.2931999999996,3711.4536000000003,-45.47308459389599,-0.004388496622347833,-0.43884966223478333,time_exit,hl_bos_adx
2025-09-14 12:00:00+00:00,2025-09-19 12:00:00+00:00,long,3650.24421,3657.21048,3611.9358,3721.3884,-0.9160512498995033,-8.879555362671727e-05,-0.008879555362671727,time_exit,hl_bos_adx
2025-09-22 15:15:00+00:00,2025-09-27 15:15:00+00:00,long,3741.87,3777.5202950000003,3702.6,3814.8,73.67304103637709,0.007141979670525793,0.7141979670525793,time_exit,hl_bos_adx
2025-09-29 08:00:00+00:00,2025-10-01 08:15:00+00:00,long,3827.062575,3899.7021735,3786.8985000000002,3901.653,167.40533577044044,0.01611345277361317,1.611345277361317,take_profit,hl_bos_adx
2025-10-04 14:15:00+00:00,2025-10-06 15:45:00+00:00,long,3895.957005,3969.904254900001,3855.0699,3971.8902000000007,170.10281374243047,0.01611345277361338,1.6113452773613377,take_profit,hl_bos_adx
2025-10-07 10:45:00+00:00,2025-10-08 08:30:00+00:00,long,3974.4662399999997,4049.9036352000003,3932.7552,4051.9296,172.84375739832728,0.016113452773613323,1.6113452773613324,take_profit,hl_bos_adx
